,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,0.17883346192434274,0.20603592155196546,0.09522268104837263,0.10310584461648413,0.17343992618221413,0.13982546857560957,0.04386218247242386,0.1636515743339374,0.07574699966249271,0.2879904712156299,0.11744937927370615,0.06156334155546206,0.16247056297139198,0.11294244215036733,0.34079606068585133,0.16757938372837577,0.1233943507611323,0.09780852876066266,0.1208007753162512,0.18851872852591148,0.08304251546844581,0.1003041414880896,0.20380212629936173
BOS,0.14216887613678347,0.0,0.18416487609627072,0.08179602003376728,0.09221832895062021,0.15211138671565555,0.12737253026778295,0.03978403120131252,0.1431000203157728,0.06806646262666555,0.25851343465056303,0.10158009050506142,0.05270967610526522,0.14232424726046888,0.10192346905682086,0.3366816556572878,0.1596489838245702,0.11038554358863573,0.0877593060630998,0.10940142641563129,0.16981875732622806,0.0746610656446953,0.08656441611654474,0.18883677867108195
CLT,0.23401661132688156,0.2631205695263337,0.0,0.13273680087152417,0.15351093322894363,0.2532945185693496,0.21497302085894213,0.06450959040747305,0.23660103980981398,0.1119769790158444,0.424759530947873,0.16435532375390297,0.08860515136238041,0.22966336384038036,0.1737557407582569,0.5005697118578615,0.24505480058701737,0.18181789636783505,0.14411289684335887,0.17921928693370623,0.2784717893249971,0.12320826595298083,0.14035359680196444,0.29714624646106647
DEN,0.06845126147054965,0.07396350392960369,0.08400954944678365,0.0,0.041827020755037775,0.06986398721466479,0.05749113755860204,0.01786661491121827,0.06584842670091236,0.030768282925995708,0.11694731232157923,0.04755715072428446,0.024556338101060726,0.06596988100293907,0.04600404278139711,0.14139856056035943,0.06980195162185812,0.05005560454989974,0.039713706401514066,0.04917455899448529,0.07663108286923163,0.033736972320048936,0.04048592885773314,0.08528928028224998
DFW,0.1497217878276521,0.16844697724203886,0.19626248358335746,0.08449239118765733,0.0,0.1697817789635221,0.13185642450246912,0.04330512744215485,0.15762502670003364,0.07779721239563606,0.29350814099989625,0.1066519464139433,0.05699583854306058,0.14960298760291002,0.11163631828001651,0.3190664171540224,0.1558854725834457,0.1262846846086331,0.09932559678300963,0.12224860751918422,0.19137183433144783,0.08667492885900878,0.09119132131450872,0.18831924901720046
DTW,0.12085409946788592,0.1333270548365977,0.15539403948160474,0.06772119661015176,0.08147074097220999,0.0,0.10438046375970966,0.03383671749158346,0.13253586791740682,0.0593749064569432,0.22590747670132244,0.08591489580927283,0.04654640506223218,0.12034958163878182,0.0867503141120176,0.2529628502361205,0.12380930178017908,0.0974160633213114,0.07673146245554868,0.09373932639047099,0.1471332202145151,0.06508691485017915,0.07356123290932054,0.14980593292394537
HNL,0.08908468462792044,0.10207909081341009,0.12058602548481491,0.05095380427623151,0.0578517283571843,0.09543851626974706,0.0,0.02454943158632792,0.08943091995172783,0.04240079428728694,0.16089693851144218,0.06272262235195328,0.033316162916269855,0.08764905938596822,0.06497086542233288,0.19471481225958648,0.09532091893777478,0.06880199821445551,0.054599121146425934,0.0680016666418944,0.1055758794432169,0.046604920881135235,0.05351918399587521,0.11564991848773896
IAH,0.034577325326940814,0.0394506532751094,0.04477356767373315,0.019593065250244703,0.023509249205683733,0.03828045380686686,0.03037566792323412,0.0,0.03604151946771344,0.01779801632712434,0.06781701253334305,0.02487643400134611,0.012997052698695413,0.0350193467109966,0.025212566397326074,0.07451430235629548,0.03634901292960014,0.028689649706674036,0.02305009418155242,0.028751551814455233,0.04491397615882795,0.019345257613860342,0.021256426695160036,0.04380472722488651
LAS,0.08173837299893064,0.089906222399432,0.10404439960279105,0.04575200734451164,0.05421622240984327,0.09500072531751216,0.07010947839042442,0.0228353532598798,0.0,0.03984127470378453,0.15179804620014048,0.05843481594184349,0.031206187514087602,0.08192871410531333,0.05796771312351126,0.17057114983036847,0.0835025379447048,0.06538037902585436,0.05159758076753144,0.06295477667788708,0.09889600038546834,0.04357746882821764,0.050078967008460595,0.10102184156325841
LAX,0.13259499543874695,0.1498784290337017,0.17257850499540212,0.0749245092584337,0.09378297668761501,0.14915998445116407,0.11649812252024042,0.039521383533789985,0.13963333839324865,0.0,0.28322207817551226,0.0949137787468735,0.050185965966886896,0.13335663944996,0.09768195726934359,0.2835899207974211,0.13847589109570219,0.11688634382931441,0.09435559018733536,0.112188695167111,0.18294604617523935,0.07982931697937291,0.0811491598765129,0.16712868602840747
