,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,0.16600642272801858,0.25956963034152974,0.030613440847612576,0.14132345702163568,0.14346827313002508,0.10776821921661471,0.016724877522795997,0.09181688192963128,0.13356461405030357,0.18553245352898431,0.18075056843487025,0.02512833735730527,0.31885094114062024,0.0740840580389583,0.5279060500222686,0.1356273880124704,0.08162021518482925,0.04945969386559153,0.07093129556269193,0.09321159841541456,0.04963549846463984,0.1249384683903331,0.3396544853613371
BOS,0.165443848011064,0.0,0.25607697897376996,0.08353062516115423,0.11661705070204637,0.10017346053772767,0.0781510044302759,0.01817819554159537,0.0544173835587539,0.08456201214223764,0.1933147371135229,0.2078479173015166,0.010665479008930874,0.2132626989522046,0.08057710789714259,0.26544150394974336,0.14215559879046435,0.07184547947774314,0.0719392419305689,0.08084667494901666,0.19905768734910106,0.0367314408944938,0.11446051428705376,0.36629474227045783
CLT,0.26006188321886503,0.2587023276528914,0.0,0.08108108108108109,0.26099950774712266,0.21103584069759265,0.08184290101029043,0.02693326457420126,0.12673167530062587,0.23806286772461968,0.35280466937015076,0.2856590328402991,0.03146902322964769,0.2976840674152036,0.19673706664166335,0.6480626333184877,0.15993530390755023,0.2504395114976208,0.12945078643257307,0.13572115046529618,0.21313377557956917,0.05312814983239962,0.1873256604392771,0.3488314854316589
DEN,0.03132837955040904,0.08485501980731816,0.07907690865193034,0.0,0.0578631537001008,0.05977356367642578,0.040599142073556645,0.0034457701413468976,0.0376339045029418,0.055636295445488856,0.04668198120062821,0.09455943367478493,0.013935444551229461,0.09236773633998266,0.03614542556433276,0.2906870443730808,0.06941937601087644,0.03697756733316144,0.021448161083893955,0.020463655329223413,0.03725885469163873,0.016115421579428517,0.034680387238930174,0.13645952978129908
DFW,0.13982325777642343,0.11676941468788823,0.26228874147347697,0.05616370924263379,0.0,0.14430041489885376,0.09195752560886994,0.023206207074377067,0.11322988209371558,0.1871029746138159,0.21989639248962753,0.14547244555917582,0.025069735824289164,0.14374956048850238,0.16084948782260144,0.2584210402944141,0.09719650266050961,0.23125336958814843,0.1313260354890884,0.14311666393192846,0.16485783268090293,0.10511942992428683,0.083518904854551,0.23336302477672816
DTW,0.14539040341295328,0.10190806591500434,0.21216099013150186,0.06082839127071565,0.14451138041771172,0.0,0.08242891634045146,0.019385387121727105,0.04609596587046717,0.1433627903705961,0.20906682918825156,0.11944164459342257,0.028034973394904013,0.13327160638522303,0.08506598532617614,0.3060406460233,0.1003023839103631,0.09305923442957269,0.06168397365275076,0.08185462131689365,0.09403201987764,0.055905862497362936,0.055155762874756806,0.155622231077565
HNL,0.10733456787229555,0.07785799676519538,0.0809755983216521,0.04014205011603104,0.09198096622207637,0.08333137994889947,0.0,0.008790229952415556,0.055741778204917845,0.11885562926326153,0.10093528046693702,0.17034293617121024,0.011439019244743442,0.16430697827055157,0.05412437589367338,0.19256463749091676,0.052190525304141956,0.08288600829797708,0.03860668995100912,0.040868709125430724,0.059761843369822557,0.020686341154684606,0.09581350648132955,0.13518201636154803
IAH,0.0161623028058414,0.017392934999179578,0.02596047912613394,0.003516091980966222,0.022889758796090107,0.0189868966972176,0.008403459834509271,0.0,0.01298609971636858,0.08101075924146175,0.17648437683129792,0.011509341084362768,0.0021448161083893955,0.005731229928974942,0.011896111202269051,0.04671714212043787,0.006633693537422939,0.03259417266355688,0.05060828391270716,0.07450598907667424,0.08553479759030497,0.02321792738098029,0.004359954056398115,0.03175031058812499
LAS,0.09404374018424322,0.05455802723799255,0.12993131900330512,0.03682520334731957,0.11304235718806405,0.04577951759218021,0.056222310775649896,0.014298774055929303,0.0,0.09692693560863552,0.1384519819038466,0.09297719228335014,0.013384590140878085,0.11257354492393522,0.045838119125196315,0.2375120133142683,0.04978786245048171,0.04016549072923748,0.04541618808748037,0.053889969761608966,0.062129345303673145,0.03307470523428893,0.04109139495089192,0.10443965214130002
LAX,0.13299031902674574,0.08457373244884087,0.23880124704062258,0.05392513068141863,0.1864231968308291,0.144101169686599,0.11683973652750757,0.0838587937460444,0.09706757928787417,0.0,0.2516818639975622,0.07256041818053961,0.02040505379620731,0.1031269778017393,0.12772790136189963,0.24918543869107618,0.08173741825086145,0.13266215044185556,0.1279974684137737,0.19895220458967208,0.20485923911769532,0.07382621129368745,0.05781627247368792,0.1433627903705961
MCO,0.18513396310447483,0.18745458381191252,0.34969878812029725,0.04587328004500598,0.21730620473031576,0.2052342889289984,0.10060711188204684,0.18141862591125385,0.13803005086613065,0.25346335060125175,0.0,0.13575631138510583,0.024952532758256957,0.19684254940109233,0.11442535336724409,0.7351210707672113,0.12384847987623357,0.13643608916809263,0.009399685895783034,0.24019596352640585,0.3375682707859638,0.10776821921661471,0.0436815827102037,0.3022667072970629
MEM,0.17743372166615878,0.2034996835517217,0.2845807646328028,0.09206300836829892,0.14282365626684795,0.11399170202292493,0.1681629591430112,0.011146011579662924,0.09198096622207637,0.07171655610510771,0.13398654508801952,0.0,0.033731042404069295,0.04613112679027684,0.11728510817842995,0.6119172077541549,0.26358969550643446,0.056421555987904645,0.043611260870584374,0.05725369775673332,0.06079323035090598,0.05262417664846113,0.0,0.35592227092660744
