,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,10207,0,1338,7552,12261,11290,9901,13037,15780,1700,3482,6602,5201,14254,14624,15163,11599,7025,2115,12882,5412,12769,11945,5803,3486,5596,5792,3917,8002
BOS,10152,0,0,5425,9735,10410,6531,4977,3435,10022,1605,1678,4433,1127,5571,15905,2547,14875,2460,670,9303,6439,12183,4478,4938,5309,7550,12006,4025,6271
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,1391,5548,0,0,1956,6023,4102,2977,4188,3051,661,1000,2680,3260,5670,4162,5899,4591,824,973,3682,2737,5093,4412,3016,1842,2066,2769,1612,2511
DCA,7358,9728,0,1950,0,3905,3586,2990,272,2746,620,0,1966,825,2401,6851,2832,6850,2319,918,5272,3407,6366,62,2479,1703,2768,3593,1696,3588
DEN,12320,10437,0,5936,3891,0,11064,8273,6468,5655,2096,5710,10262,3962,14977,14468,8237,10517,5457,1819,5028,14498,16601,8864,15359,10948,13848,7895,9179,6744
DFW,11031,6512,0,4076,3568,11059,0,6786,6706,6185,2024,1715,2258,2708,12483,14256,9504,9623,55,1916,5553,6197,12581,6096,5603,5021,6550,5181,5318,5094
DTW,9815,4974,0,2965,2973,8259,6704,0,2867,8397,686,1275,4492,1487,12045,7895,6113,13061,878,832,3245,3100,2539,3168,5432,3332,4188,4007,2140,6076
EWR,12578,3501,0,3981,232,6650,6517,2857,0,15688,2004,369,6694,0,10359,15388,0,24332,70,555,13359,3215,9190,0,6657,5262,6413,11782,2072,9547
FLL,15448,10131,0,3011,2952,5620,6126,8460,15877,0,386,2145,5363,13348,4974,7443,13311,1325,3572,1121,0,2841,9895,7885,1802,1270,2317,2764,1568,1649
HNL,1729,1731,0,668,694,2096,2133,721,2108,407,0,1133,1415,2046,5861,19832,394,1218,221,148,596,1124,2315,752,3495,5457,6769,9296,2398,464
IAD,3436,1646,0,1014,0,5559,1779,1243,367,2148,1124,0,1936,227,2245,5590,415,4172,843,158,932,1524,2265,60,1452,2645,3935,4397,1115,1733
IAH,6583,4510,0,2717,2045,10270,2255,4538,6823,5405,1391,1885,0,1424,9716,11991,6362,8770,1646,1281,4809,2946,9808,4683,3035,3058,4687,3806,2644,2794
JFK,5084,1236,0,3197,890,3850,2707,1618,0,13261,1975,250,1358,0,7878,30946,0,14258,20,128,16491,1718,3445,0,5876,6005,7131,18588,4911,4837
LAS,14420,5694,0,5817,2517,14953,12515,11913,10764,5117,5918,2300,9715,8026,0,16870,894,6758,7096,2465,4631,10127,15457,6527,9052,8630,17604,10020,6663,4769
LAX,14687,16136,0,4186,7047,14452,14435,8013,15706,7543,19690,5733,11960,31120,16779,0,1785,11360,3965,2152,10144,8503,21168,8558,7911,168,19295,16762,9570,2727
LGA,15206,2614,0,5736,2783,7953,9618,6109,0,13223,304,433,6382,0,847,1806,0,14725,2840,916,11122,3827,15768,1,563,450,279,414,293,5036
MCO,11193,15047,0,4510,6812,10442,9568,12987,25264,1487,1210,4223,8766,14989,6624,11247,14842,0,8084,2519,3407,7715,15476,19976,4918,2283,5066,3841,5259,0
MDW,7026,2497,0,849,2338,5413,48,911,64,3573,210,890,1618,15,6859,3933,2956,7743,0,1026,2048,3401,0,1951,5572,2878,1482,867,1128,4912
MEM,2304,665,0,948,890,1809,1875,800,589,1138,152,160,1286,160,2425,2167,849,2490,1090,0,924,666,1617,794,944,523,603,418,494,727
MIA,12901,9280,0,3541,5282,5000,5704,3243,13315,0,571,893,4856,17022,4596,10156,11140,3290,2085,932,0,2048,9059,7762,2483,1397,1567,3605,1271,2197
MSP,5412,6503,0,2689,3460,14429,6330,3124,3271,2708,1094,1560,2878,1799,10115,8386,3817,7660,3366,688,2019,0,7467,3483,9611,4335,7448,5572,2506,3985
ORD,12369,12286,0,5059,6436,16251,12577,2634,9081,9796,2235,2310,9600,3557,15622,20911,15626,15379,0,1590,8845,7348,0,7850,14356,7152,10898,11522,4643,8491
PHL,11760,4533,0,4330,53,8803,6045,3182,0,7958,698,49,4574,0,6436,8280,0,19605,1922,796,7643,3427,7716,0,4117,3094,3855,4462,2059,7025
PHX,5747,5205,0,3005,2478,15283,5664,5204,6598,1901,3425,1418,3062,6066,8984,7950,628,5113,5562,934,2833,9546,14195,4181,0,7839,15353,6622,9042,2423
SAN,3575,5868,0,1883,1738,10902,5027,3378,5349,1351,5399,2747,3113,6181,8636,152,494,2328,2929,570,1446,4322,7230,3333,7646,0,13532,9728,5301,1414
SEA,5680,7701,0,2013,2833,13916,6673,4233,6500,2319,6513,3918,4683,7155,17363,19297,276,5017,1412,596,1566,7509,10963,3861,15291,13356,0,10843,6710,3349
SFO,5757,12132,0,2731,3667,7781,5431,4092,11880,2715,9216,4339,3819,18503,9738,16758,406,3857,808,441,3518,5649,11869,4464,6407,9967,10643,0,3430,1635
SLC,3936,3977,0,1627,1718,9245,5450,2126,2105,1582,2386,1141,2692,5005,6760,9602,280,5275,1155,523,1299,2495,4695,2053,9277,5431,6689,3403,0,1529
TPA,7880,6553,0,2473,3601,6693,5114,6189,9622,1624,423,1774,2858,4924,4734,2633,4996,0,4874,778,2231,3983,8541,7041,2473,1332,3287,1544,1500,0
