,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,14164.0,2612.0,12058.0,12241.0,9195.0,1427.0,7834.0,11396.0,15830.0,15422.0,2144.0,27205.0,6321.0,11572.0,6964.0,4220.0,6052.0,7953.0,4235.0,10660.0,22147.0,45042.0,28980.0
BOS,14116.0,0.0,7127.0,9950.0,8547.0,6668.0,1551.0,4643.0,7215.0,16494.0,17734.0,910.0,18196.0,6875.0,12129.0,6130.0,6138.0,6898.0,16984.0,3134.0,9766.0,21849.0,22648.0,31253.0
CLT,2673.0,7240.0,0.0,4937.0,5100.0,3464.0,294.0,3211.0,4747.0,3983.0,8068.0,1189.0,7881.0,3084.0,5923.0,3155.0,1830.0,1746.0,3179.0,1375.0,2959.0,6747.0,24802.0,11643.0
DEN,11930.0,9963.0,4792.0,0.0,12312.0,7846.0,1980.0,9661.0,15964.0,18762.0,12412.0,2139.0,12265.0,13724.0,8293.0,19731.0,11205.0,12211.0,14066.0,8969.0,7126.0,22379.0,22049.0,19911.0
DFW,12405.0,8695.0,5190.0,12330.0,0.0,7033.0,1654.0,3933.0,12232.0,17838.0,10191.0,2392.0,11371.0,7258.0,8558.0,7940.0,5263.0,6984.0,8023.0,4770.0,4706.0,18102.0,26112.0,13278.0
DTW,9158.0,6643.0,3425.0,7848.0,7110.0,0.0,750.0,4756.0,10141.0,8612.0,14534.0,976.0,14019.0,4618.0,4453.0,7072.0,3294.0,3487.0,5099.0,1765.0,8175.0,6909.0,16430.0,11534.0
HNL,1379.0,1484.0,300.0,1953.0,1620.0,717.0,0.0,1108.0,6912.0,15058.0,982.0,183.0,489.0,1015.0,566.0,2781.0,4318.0,6357.0,7298.0,1981.0,372.0,2215.0,3986.0,2709.0
IAH,8024.0,4655.0,3142.0,9645.0,3906.0,4797.0,1220.0,0.0,8270.0,11813.0,7933.0,1142.0,9605.0,3911.0,4248.0,3427.0,3875.0,4598.0,5301.0,2822.0,3506.0,11086.0,20265.0,8911.0
LAS,11347.0,7216.0,4601.0,15906.0,12295.0,9969.0,7155.0,8282.0,0.0,21474.0,6191.0,1741.0,8799.0,10898.0,6974.0,11319.0,10921.0,16975.0,17479.0,6299.0,4933.0,20375.0,21261.0,12232.0
LAX,15796.0,15994.0,3914.0,18541.0,17511.0,8584.0,15479.0,11777.0,21626.0,0.0,11583.0,2129.0,16795.0,9763.0,10567.0,11641.0,802.0,20494.0,28802.0,9195.0,3727.0,29837.0,62722.0,25790.0
MCO,15139.0,17363.0,7855.0,12186.0,9726.0,14348.0,951.0,7848.0,6119.0,11432.0,0.0,2878.0,3936.0,10007.0,22490.0,4814.0,3721.0,4885.0,5187.0,4490.0,0.0,24281.0,52210.0,30368.0
MEM,2378.0,867.0,1138.0,2141.0,2383.0,957.0,174.0,1122.0,1743.0,2137.0,2921.0,0.0,1798.0,865.0,1049.0,1125.0,618.0,659.0,674.0,440.0,1285.0,2623.0,3716.0,3319.0
MIA,26440.0,17232.0,7729.0,12153.0,11012.0,13615.0,507.0,9754.0,8654.0,16602.0,3863.0,1795.0,0.0,5478.0,16949.0,5611.0,3663.0,4290.0,9766.0,3140.0,4699.0,24583.0,83420.0,29936.0
MSP,6338.0,6771.0,3098.0,13628.0,7182.0,4637.0,1053.0,3931.0,10892.0,9724.0,10138.0,896.0,5671.0,0.0,4466.0,13295.0,5099.0,6405.0,7011.0,2291.0,5537.0,16873.0,13496.0,10514.0
PHL,11400.0,12205.0,5886.0,8199.0,8534.0,4454.0,541.0,4298.0,6998.0,10518.0,22665.0,1073.0,17173.0,4465.0,0.0,5670.0,3597.0,3555.0,7564.0,1609.0,8825.0,13418.0,140.0,109.0
PHX,6940.0,6003.0,3115.0,19935.0,7906.0,6880.0,2818.0,3407.0,11665.0,11900.0,4798.0,1134.0,5705.0,12969.0,5705.0,0.0,9095.0,16382.0,7990.0,9162.0,3226.0,21267.0,17404.0,10025.0
SAN,4237.0,5990.0,1811.0,11223.0,5190.0,3215.0,4259.0,3869.0,10921.0,843.0,3900.0,626.0,3554.0,5030.0,3655.0,8998.0,0.0,13302.0,16026.0,6061.0,2091.0,10968.0,12935.0,9486.0
SEA,6064.0,6834.0,1726.0,12180.0,6868.0,3499.0,6377.0,4546.0,17155.0,20707.0,4973.0,704.0,4411.0,6514.0,3595.0,16517.0,13479.0,0.0,16834.0,6168.0,2888.0,11614.0,15216.0,10438.0
SFO,7992.0,16761.0,3164.0,13788.0,8100.0,5079.0,7581.0,5300.0,17712.0,29011.0,5369.0,668.0,10020.0,7096.0,7600.0,7892.0,16231.0,17053.0,0.0,4058.0,2569.0,18027.0,45993.0,16108.0
SLC,4196.0,3155.0,1330.0,8944.0,4820.0,1755.0,2052.0,2745.0,6452.0,9320.0,4548.0,442.0,3084.0,2264.0,1551.0,9336.0,6160.0,6216.0,4055.0,0.0,1412.0,4505.0,7674.0,5206.0
TPA,10517.0,9335.0,2676.0,7106.0,4594.0,7989.0,354.0,3581.0,4920.0,3597.0,0.0,1258.0,4727.0,5345.0,8944.0,3163.0,2066.0,2789.0,2498.0,1414.0,0.0,15490.0,23579.0,15036.0
CHI,22189.0,22073.0,6918.0,22269.0,18006.0,6983.0,2298.0,10813.0,20312.0,30102.0,24373.0,2685.0,25399.0,16786.0,13646.0,21368.0,11045.0,11580.0,18185.0,4533.0,15983.0,0.0,55294.0,29763.0
