,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,17211,13100,2092,11720,11173,13027,10216,10438,16203,1534,4336,6620,5797,10921,17132,24686,14800,8895,1759,10370,7356,14789,12418,6780,4432,6609,7454,3845,9841
BOS,16972,0,11541,6431,16979,9349,9429,7029,7265,9627,1211,4079,4712,3582,6919,19202,12133,14783,4228,858,5058,9024,18596,10876,6243,6664,8338,19308,3968,7784
BWI,12897,11474,0,4225,0,6474,3819,5655,268,12300,1093,0,3470,445,7978,8785,5,13635,6096,1480,2545,5569,5752,14,4297,5938,4463,3674,2710,5931
CLT,2157,6567,4444,0,2785,4163,5365,2625,7519,2184,451,1475,3323,5318,2961,3953,9998,4414,985,1196,2045,2999,6415,4364,2907,1896,2148,3249,1412,2461
DCA,11544,16846,0,2606,0,5358,6200,4289,1120,5563,597,0,3133,2587,2609,7219,6358,10040,4332,1655,6377,4799,12190,88,3539,2370,3391,4623,2141,7039
DEN,11106,9630,6537,4092,5469,0,11957,7905,6646,5255,2049,7798,8156,4404,16641,20637,10947,9907,7450,1653,3903,13086,14359,7819,18719,10549,13095,13878,8440,6227
DFW,13091,9757,3887,5403,6382,12028,0,7539,7185,6119,1670,3732,4330,1893,11297,17596,16015,10866,42,1978,4604,8291,18291,7968,7773,5976,8519,7996,4453,5133
DTW,10088,7057,5716,2458,4302,7766,7359,0,4350,8302,654,1450,4882,1510,10052,8545,9966,13336,1988,936,3968,4110,5161,4591,6536,3763,4515,5025,1804,6542
EWR,9982,7175,245,7305,1071,6415,6903,4217,0,18186,1591,747,9012,0,10317,19657,0,24202,3952,965,7410,4152,12011,0,7310,5612,6966,22734,2275,9463
FLL,16090,10082,12643,2067,5685,5302,6040,8691,19123,0,290,2543,4536,11861,4634,6334,16542,1271,4523,1123,0,2059,10888,8845,2280,2048,3263,4656,2001,2115
HNL,1549,1234,1079,449,624,1995,1621,669,1653,311,0,1196,1299,2014,5191,16114,139,1034,12,225,288,916,1757,676,2352,4312,6320,8091,2198,520
IAD,4128,4082,0,1445,0,7841,3653,1460,937,2451,1166,0,1878,1591,4408,10532,1025,5442,48,199,1578,1367,3198,132,1650,2938,4342,9659,1408,2657
IAH,6652,4809,3554,3234,3170,8125,4236,5040,9246,4590,1309,1936,0,289,6917,10594,7948,7208,42,979,4258,4358,11781,4393,2921,3932,6048,4830,2506,3567
JFK,5894,3517,500,5121,2661,4557,1911,1504,0,11276,1940,1704,258,0,13895,39587,0,13601,29,159,8123,3794,5320,83,7561,7385,9042,25617,4674,5927
LAS,10911,6996,7705,2869,2615,16878,11196,10128,10867,4720,5528,4172,6810,13597,0,22609,1480,6361,8213,1899,3860,10594,14315,6993,8810,10595,18185,17739,5998,5291
LAX,17162,19457,8800,3706,7493,20737,17398,8716,19766,6339,16168,10595,10504,39559,22287,0,2435,13982,5997,2014,8742,9939,24119,11003,12933,801,24491,36769,8753,3876
LGA,24098,12263,3,9617,6165,10846,15758,10076,0,15396,127,948,7872,0,1356,2441,0,11854,5385,1965,17260,6268,35866,45,1017,805,531,1239,548,6038
MCO,14255,15101,13838,4062,10126,9949,10689,13883,24443,1405,1037,5326,7055,14054,6270,13921,11712,0,9192,2453,2616,8889,14725,18742,5093,3706,5461,5953,4382,0
MDW,8681,4180,6031,950,4395,7321,45,1935,4015,4321,16,42,40,17,8074,5813,5570,8739,0,877,63,5783,0,3160,7281,3331,1749,2087,919,5380
MEM,1999,912,1563,1145,1644,1612,1937,936,980,1123,226,209,980,166,1957,2076,1914,2410,927,0,614,853,1994,1336,913,716,688,811,405,1249
MIA,10253,5276,2521,1962,6506,3844,4433,4039,7478,0,299,1573,4306,7952,3761,8712,18071,2638,67,625,0,2741,9160,5634,2035,1608,1834,5160,700,2365
MSP,7440,9149,5556,2948,4750,13149,8269,4144,4185,1947,874,1318,4282,3764,10257,9645,6302,8547,5820,894,2646,0,9707,3637,10139,4408,7630,8433,2545,3864
ORD,14759,19025,5918,6285,12403,14184,17978,5345,12248,10506,1764,3211,11551,5245,14335,23895,36297,14449,0,2015,9107,9601,0,9829,11963,7979,11901,19046,4109,7814
PHL,12488,10782,26,4219,119,7740,7668,4550,0,8643,684,111,4340,98,6984,10803,102,18393,3162,1323,5416,3664,9574,0,5583,3561,3662,7391,1672,8274
PHX,6661,6429,4406,2903,3677,18935,7720,6856,7781,2252,2374,1701,2924,7556,8591,12699,1182,5115,7715,898,2108,11046,12532,5629,0,8349,15512,8293,6829,2997
SAN,4433,6517,6057,1860,2370,10550,5844,3791,5557,2071,4304,3050,3887,7536,10301,763,776,3915,3318,714,1603,4601,8134,3606,8337,0,13800,18596,5753,1877
SEA,6503,8235,4288,2093,3324,13176,8319,4504,6863,3019,6130,4478,5847,9120,17838,23975,528,5362,1749,688,1749,7545,11669,3632,15052,13445,0,18608,5955,2777
SFO,7368,19310,3764,3171,4587,13981,7985,4892,22369,4686,8161,9742,4865,25421,16939,37128,1277,5815,2085,768,5160,8651,18720,7283,7978,18556,18649,0,4186,2379
SLC,3801,3990,2616,1353,2127,8804,4382,1794,2279,1985,2140,1447,2458,4658,6099,8807,588,4336,950,416,685,2533,4052,1685,6913,5869,5878,4418,0,1261
TPA,9642,8105,6154,2246,6959,6461,4911,7044,9684,2069,492,2678,3481,5896,5242,3798,6409,0,5711,1264,2460,4215,8208,8341,2988,1918,2877,2377,1194,0
