,ABE,ABI,ABQ,ABR,ABY,ACK,ACT,ACV,ACY,ADK,ADQ,AEX,AGS,AIA,AKN,ALB,ALO,ALS,ALW,AMA,ANC,AOO,APN,ART,ASE,ATL,ATW,ATY,AUG,AUS,AVL,AVP,AZA,AZO,BDL,BET,BFD,BFF,BFL,BFM,BGM,BGR,BHB,BHM,BIL,BIS,BJI,BKG,BKW,BLI,BLV,BMI,BNA,BOI,BOS,BPT,BQK,BQN,BRD,BRO,BRW,BTM,BTR,BTV,BUF,BUR,BWI,BZN,CAE,CAK,CDB,CDC,CDR,CDV,CEC,CEZ,CGI,CHA,CHO,CHS,CID,CIU,CKB,CLE,CLL,CLT,CMH,CMI,CMX,CNM,CNY,COD,COS,COU,CPR,CPX,CRP,CRW,CSG,CVG,CVN,CWA,CYF,CYS,DAB,DAL,DAY,DBQ,DCA,DDC,DEC,DEN,DFW,DHN,DIK,DLG,DLH,DRO,DRT,DSM,DTW,DUJ,DUT,DVL,EAR,EAT,EAU,ECP,EGE,EKO,ELD,ELM,ELP,ENA,ERI,ESC,EUG,EVV,EWN,EWR,EYW,FAI,FAR,FAT,FAY,FCA,FKL,FLG,FLL,FLO,FNT,FSD,FSM,FWA,GAL,GCC,GCK,GDV,GEG,GFK,GGG,GGW,GJT,GLH,GNV,GPT,GRB,GRI,GRK,GRR,GSO,GSP,GTF,GTR,GUC,GUM,HDN,HGR,HHH,HIB,HLN,HNL,HNM,HOB,HOM,HOT,HOU,HPN,HRL,HRO,HSV,HTS,HVN,HVR,HYA,HYS,IAD,IAG,IAH,ICT,IDA,ILM,IMT,IND,INL,IPL,IPT,IRK,ISN,ISP,ITH,ITO,JAC,JAN,JAX,JFK,JHM,JLN,JMS,JNU,JST,KOA,KTN,LAN,LAR,LAS,LAW,LAX,LBB,LBE,LBF,LBL,LCH,LCK,LEB,LEX,LFT,LGA,LGB,LIH,LIT,LNK,LNS,LNY,LRD,LSE,LWB,LWS,LYH,MAF,MAZ,MBS,MCE,MCI,MCK,MCO,MDT,MDW,MEI,MEM,MFE,MFR,MGM,MGW,MHK,MHT,MIA,MKE,MKG,MKK,MKT,MLB,MLI,MLU,MMH,MOB,MOT,MQT,MRY,MSL,MSN,MSO,MSP,MSS,MSY,MTJ,MVY,MWA,MYR,OAJ,OAK,OGD,OGG,OGS,OKC,OLF,OMA,OME,ONT,OOK,ORD,ORF,ORH,OTH,OTZ,OWB,PAE,PAH,PBG,PBI,PDT,PDX,PGA,PGD,PGV,PHF,PHL,PHX,PIA,PIB,PIE,PIH,PIR,PIT,PKB,PLN,PNS,PPG,PQI,PRC,PSC,PSE,PSG,PSM,PSP,PUB,PUW,PVC,PVD,PVU,PWM,RAP,RDD,RDM,RDU,RFD,RHI,RIC,RIW,RKD,RKS,RNO,ROA,ROC,ROW,RST,RSW,RUT,SAF,SAN,SAT,SAV,SBA,SBN,SBP,SBY,SCC,SCE,SCK,SDF,SDP,SDY,SEA,SFB,SFO,SGF,SGU,SHD,SHH,SHR,SHV,SIT,SJC,SJT,SJU,SLC,SLK,SLN,SMF,SMX,SNA,SOW,SPI,SPN,SPS,SRQ,STC,STL,STS,STT,STX,SUN,SUX,SWF,SWO,SYR,TBN,TEX,TLH,TOL,TPA,TRI,TTN,TUL,TUP,TUS,TVC,TVF,TWF,TXK,TYR,TYS,UIN,USA,VCT,VDZ,VEL,VLD,VPS,VQS,WRG,WYS,XNA,XWA,YAK,YKM,YUM,GST,IWD,MCN
BUF,0,1,39,3,3,5,0,1,0,0,2,5,7,0,0,0,0,1,0,7,33,0,0,0,7,459,4,0,0,75,9,0,0,0,16,0,0,1,3,0,0,17,0,25,5,2,0,0,0,0,0,1,119,23,248,0,2,0,1,2,0,0,10,1,0,16,293,27,26,0,0,0,0,0,0,0,1,15,4,43,9,2,0,3,2,356,13,0,0,0,1,1,27,0,2,0,4,0,2,26,0,3,0,0,22,57,6,1,41,0,0,855,158,1,0,0,4,2,1,13,174,0,0,0,0,0,0,11,2,1,0,0,19,0,0,0,2,2,8,270,15,9,11,13,10,15,0,2,160,1,0,16,0,3,0,0,1,0,24,1,0,0,5,0,15,6,7,1,3,17,29,37,2,1,2,0,1,0,12,0,3,5,0,0,0,0,58,0,3,0,15,1,1,0,0,0,94,0,94,14,6,30,0,38,1,0,0,0,0,40,0,1,28,19,66,477,0,1,0,0,0,0,0,2,1,307,1,317,7,0,1,0,2,0,0,15,5,62,0,0,15,2,0,0,3,4,0,0,5,3,1,3,0,71,0,576,4,294,0,28,1,4,3,0,2,9,98,25,0,0,0,11,5,2,0,10,2,3,0,0,17,16,109,0,53,1,4,0,20,13,45,0,2,0,33,0,39,0,37,0,271,93,0,0,0,0,0,0,0,104,0,136,0,0,2,2,91,229,9,0,0,0,0,3,0,3,22,0,0,1,5,0,0,0,4,0,0,0,25,0,59,13,2,2,129,0,0,32,0,0,1,37,4,0,0,2,136,0,1,112,64,32,7,7,1,4,0,0,0,34,0,0,191,0,98,8,3,0,0,1,5,0,30,1,197,105,0,0,49,0,48,0,0,0,1,31,0,63,1,13,0,1,2,2,0,0,0,0,10,0,352,3,0,15,0,45,13,0,1,1,0,15,0,0,0,0,0,1,12,0,0,0,7,0,0,0,1,0,0,0
BUR,2,5,95,0,0,0,3,5,0,0,2,2,1,0,0,12,0,0,5,20,29,0,0,0,9,69,0,0,0,161,3,2,0,1,25,0,0,4,0,0,0,0,0,36,10,4,0,0,0,6,0,0,267,243,141,1,0,0,0,0,0,0,6,1,17,0,98,22,4,1,0,1,0,0,0,0,0,2,1,15,9,0,0,88,0,73,85,3,0,0,0,3,11,1,2,0,8,3,0,28,0,1,0,0,0,139,6,0,42,1,0,1125,219,0,0,0,0,10,0,67,96,0,0,0,1,10,0,2,0,0,0,0,121,0,2,0,35,2,1,70,0,5,6,0,1,35,0,10,37,0,1,16,0,4,0,2,1,0,304,0,1,0,11,0,2,0,2,1,5,43,2,2,5,0,1,0,2,0,0,0,7,11,0,0,0,0,101,0,2,0,6,0,0,0,0,0,21,0,39,38,1,9,1,195,0,0,0,0,0,0,1,0,7,8,58,39,0,3,0,5,0,1,5,1,0,2019,0,0,29,0,2,0,2,0,0,15,4,142,0,0,21,0,0,0,1,0,0,0,0,30,0,0,0,151,0,82,1,89,0,32,5,47,0,0,0,2,24,148,0,0,0,1,2,0,0,1,2,0,0,0,15,40,74,0,67,3,0,0,2,2,1116,0,3,0,197,0,150,0,0,0,25,13,0,10,0,0,0,0,0,5,0,690,0,0,0,1,115,1377,3,0,0,1,2,97,0,0,8,0,0,0,19,0,0,0,0,2,3,0,2,0,1,16,3,37,122,0,0,11,1,0,1,78,1,2,2,1,19,0,3,0,188,3,0,4,0,0,0,1,0,58,0,0,1183,0,672,10,6,0,0,1,9,15,844,1,2,298,0,1,1240,0,0,1,0,0,0,1,0,137,0,0,0,1,0,0,2,2,0,0,3,1,106,1,0,103,0,41,7,0,2,0,0,12,0,0,0,0,0,0,7,0,0,2,22,1,0,4,1,0,0,0
BWI,0,10,323,2,9,0,3,10,0,0,2,25,98,0,1,255,4,1,1,38,101,0,0,4,18,4291,21,1,0,956,197,0,0,10,264,0,0,1,11,0,0,1,0,260,49,19,8,0,0,5,0,6,1399,179,1670,4,1,0,2,9,0,4,38,2,303,104,0,132,101,1,0,0,0,0,0,0,2,60,0,931,63,2,0,412,6,1740,445,6,5,0,4,15,104,5,14,0,56,10,12,549,0,14,0,0,41,1359,57,4,0,0,1,3263,2184,12,4,0,20,14,2,162,1373,0,0,1,1,6,3,158,5,0,0,0,204,0,0,4,41,14,10,0,74,30,37,50,37,93,0,16,3867,6,12,39,12,21,0,4,1,0,174,27,5,0,26,0,28,53,45,2,85,352,32,204,17,6,6,10,8,0,41,3,11,154,0,0,0,0,1283,0,26,1,77,3,0,0,0,0,0,0,1096,88,17,42,2,709,3,0,0,1,0,203,0,1,138,104,1369,0,0,5,0,5,0,13,4,21,0,3344,25,3049,43,0,0,0,8,0,0,46,28,0,11,4,131,4,0,0,6,13,0,1,3,37,0,11,0,816,0,4096,0,1635,1,316,19,42,36,0,10,553,676,729,0,0,0,34,23,11,0,50,18,4,10,0,76,52,1278,0,1094,12,0,0,773,13,657,0,6,0,354,0,178,1,235,0,1479,179,0,2,0,0,4,4,0,754,1,524,0,0,3,2,4,1291,23,0,0,1,1,129,0,11,274,0,0,2,25,0,0,0,29,3,2,0,512,0,619,71,4,27,532,0,2,0,5,0,4,186,3,131,2,9,1052,0,7,1419,746,299,20,34,12,0,0,0,0,645,0,0,1276,0,519,54,14,0,0,4,49,4,341,8,1055,1116,0,1,596,0,197,0,5,1,12,274,0,993,3,160,49,9,2,0,0,0,0,0,56,6,2377,14,0,140,0,221,33,0,3,6,2,123,1,0,0,0,2,8,240,0,0,9,70,1,1,1,6,0,0,1
BZN,13,4,35,0,0,3,3,2,0,0,0,4,13,0,2,40,0,1,2,6,116,0,0,0,5,436,19,1,0,180,11,14,288,1,47,1,0,1,9,0,0,3,0,74,0,4,0,0,0,10,0,4,448,25,330,3,3,0,0,3,1,0,13,17,24,21,132,0,18,2,0,1,0,1,0,0,0,26,8,71,27,2,1,96,1,197,109,0,0,0,0,0,12,9,1,0,6,8,1,113,0,2,0,0,7,7,23,1,129,0,0,682,577,2,0,1,9,6,0,33,149,0,0,1,1,2,0,10,1,5,0,0,12,0,4,0,22,9,1,202,7,20,19,28,0,0,0,1,66,0,3,25,11,13,0,0,0,0,14,4,2,0,7,0,9,10,12,1,2,111,40,79,0,0,2,1,0,0,1,1,0,11,0,0,0,0,12,6,2,0,32,0,0,0,0,0,109,0,298,18,0,18,4,130,0,0,0,0,0,0,0,1,0,20,71,138,0,1,1,15,0,4,6,5,0,243,0,413,10,0,0,0,1,0,0,20,12,144,149,1,36,3,0,0,0,9,0,0,0,18,0,6,0,111,0,197,59,0,0,77,1,19,4,0,1,24,78,88,1,0,0,1,11,7,0,18,1,2,1,0,45,0,721,0,97,1,0,0,11,4,22,0,5,0,73,0,53,1,58,0,506,28,0,0,2,0,0,1,1,31,0,285,0,0,0,0,195,135,12,0,0,0,0,151,0,0,28,0,0,3,6,0,0,0,18,1,1,0,10,0,23,4,3,22,143,0,11,65,0,0,0,52,15,20,1,8,53,0,3,223,79,24,21,9,19,0,0,8,0,43,0,0,595,0,361,26,14,0,0,0,17,8,55,2,3,89,0,0,127,0,102,0,1,0,1,4,0,112,11,1,1,0,0,0,2,21,0,0,35,0,181,10,0,42,0,30,25,0,0,1,0,41,0,0,0,0,0,0,18,0,0,0,24,0,0,3,0,0,0,0
CAE,5,4,26,1,0,3,3,0,0,0,0,12,0,0,0,20,0,0,1,12,20,0,0,0,1,74,7,0,0,102,1,3,0,3,49,0,0,0,4,0,0,9,0,14,7,3,1,0,1,0,0,2,65,27,101,3,0,0,1,5,0,0,20,14,28,3,104,18,0,4,0,0,0,0,0,0,0,9,5,0,10,0,0,53,2,4,46,1,2,0,0,0,38,8,2,0,4,2,1,36,0,2,0,0,8,0,30,1,75,0,0,134,258,2,0,0,2,2,0,23,77,0,0,0,0,0,2,14,3,1,0,1,45,0,6,0,5,10,0,74,24,6,10,19,1,9,0,6,40,0,12,24,6,15,0,0,0,0,10,1,2,0,2,0,5,19,5,2,25,42,3,0,1,4,0,1,1,0,0,0,0,22,0,0,0,0,37,2,4,0,13,0,2,0,0,0,75,0,117,35,4,1,0,63,2,0,0,0,0,0,0,1,24,23,8,54,0,2,0,0,0,0,0,3,2,144,5,153,11,0,0,0,4,0,0,12,5,140,0,0,36,3,0,0,3,7,0,0,2,10,0,3,0,66,0,65,27,0,0,43,8,8,3,0,8,18,48,38,1,0,0,3,8,6,0,14,6,3,4,0,16,9,101,0,47,5,2,0,0,1,0,0,0,0,57,0,37,0,37,0,185,26,0,0,0,0,0,2,2,22,0,60,0,0,0,4,86,93,9,1,0,0,1,60,0,0,27,0,0,0,8,0,0,0,5,0,0,0,28,0,26,12,0,3,5,0,2,21,1,0,0,15,4,23,1,3,23,0,4,83,93,0,1,13,4,6,0,3,0,33,0,0,150,0,91,29,0,0,0,0,12,0,12,2,15,112,0,0,77,0,38,0,0,0,0,13,0,96,0,9,5,0,0,0,1,23,0,0,10,5,83,1,0,30,0,31,4,0,1,3,2,6,2,0,0,0,1,1,21,0,0,0,15,0,0,0,1,0,0,0
CAK,0,0,2,0,0,0,3,2,0,0,0,2,4,0,0,4,0,0,0,2,4,0,0,0,2,28,3,0,0,24,13,0,0,0,1,0,0,0,0,0,0,7,0,9,0,1,0,0,0,0,0,0,14,9,17,0,0,0,0,1,0,0,7,1,0,1,4,2,4,0,0,0,0,0,0,0,0,7,4,35,5,0,0,0,0,136,0,0,0,0,2,0,2,3,1,0,2,0,0,0,0,1,0,0,19,0,0,0,0,0,0,20,34,0,0,0,2,1,0,15,0,0,0,0,0,0,1,12,0,0,0,0,5,0,0,0,0,1,7,0,12,1,1,0,2,0,0,0,44,2,0,3,1,0,0,1,0,0,4,0,1,0,1,0,6,5,5,0,0,0,10,13,1,0,0,0,0,0,31,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37,7,0,34,0,1,0,0,0,0,0,0,0,1,4,6,36,0,0,1,0,0,0,0,0,0,2,29,2,47,0,0,0,0,0,0,0,0,2,0,0,0,12,7,0,0,0,1,0,0,2,1,0,0,0,31,0,414,2,0,0,20,2,1,2,0,0,7,36,6,0,0,0,7,1,3,0,4,1,0,0,0,6,1,19,0,19,0,0,0,35,10,0,0,0,0,20,0,9,0,2,0,97,16,0,0,0,0,0,0,0,49,0,18,0,0,2,2,28,48,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,3,0,0,0,7,0,7,2,0,2,26,0,0,7,0,0,0,1,0,0,0,0,60,0,0,28,22,25,2,0,0,1,0,0,0,0,0,0,29,0,16,7,0,0,0,0,6,0,1,0,4,30,0,1,15,0,11,0,0,0,0,41,0,15,0,4,0,0,0,0,1,0,0,0,5,0,72,3,0,16,0,2,1,0,0,5,0,4,0,0,0,0,0,0,21,0,0,0,9,2,0,0,0,0,0,0
CDB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,4,0,0,47,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,3,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,0,3,1,0,0,4,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
