,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,14164,0,2612,12059,12058,12241,9195,13323,16219,1427,4566,7834,7743,11396,15830,23976,15422,8054,2144,10986,6321,14093,11572,6964,4220,6052,7953,4235,10660
BOS,14116,0,0,7127,17915,9950,8547,6668,8414,12045,1551,2837,4643,3353,7215,16494,10881,17734,3882,910,6151,6875,17967,12129,6130,6138,6898,16984,3134,9766
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,2673,7240,0,0,3300,4937,5100,3464,11347,5152,294,1637,3211,4604,4747,3983,8851,8068,1139,1189,2729,3084,5608,5923,3155,1830,1746,3179,1375,2959
DCA,11908,18184,0,3112,0,5544,5991,4472,1136,6178,500,0,3239,1434,2479,6734,5491,11721,3706,1807,7657,4491,10814,106,4091,2066,2876,4173,1883,6020
DEN,11930,9963,0,4792,5585,0,12312,7846,6262,7996,1980,7377,9661,4219,15964,18762,11568,12412,7493,2139,4269,13724,14886,8293,19731,11205,12211,14066,8969,7126
DFW,12405,8695,0,5190,6010,12330,0,7033,7954,6164,1654,3222,3933,2708,12232,17838,15450,10191,75,2392,5207,7258,18027,8558,7940,5263,6984,8023,4770,4706
DTW,9158,6643,0,3425,4434,7848,7110,0,4416,10249,750,1834,4756,1455,10141,8612,10559,14534,1782,976,3770,4618,5127,4453,7072,3294,3487,5099,1765,8175
EWR,12960,8375,0,11024,1120,6164,7865,4312,0,17573,1743,1189,9830,0,9974,20863,0,25586,1097,1376,10167,5499,12966,0,7743,5356,5553,22374,2123,10132
FLL,15768,11200,0,5048,6150,7872,6071,9941,17378,0,285,1897,4424,11633,4891,7851,16617,1444,4267,1051,0,2456,9731,9763,3094,1993,2615,4774,2295,2571
HNL,1379,1484,0,300,536,1953,1620,717,1727,272,0,976,1108,2086,6912,15058,173,982,121,183,217,1015,2094,566,2781,4318,6357,7298,1981,372
IAD,4331,2863,0,1594,0,7397,3125,1836,1239,2081,1037,0,2118,685,3609,10389,678,5481,48,153,1043,1439,2641,0,1877,3304,4659,8823,1088,2654
IAH,8024,4655,0,3142,3302,9645,3906,4797,9700,4419,1220,2098,0,1906,8270,11813,8659,7933,43,1142,5186,3911,11043,4248,3427,3875,4598,5301,2822,3506
JFK,7671,3227,0,4527,1503,4612,2761,1409,0,12198,2095,668,1815,0,10346,40832,0,12779,38,154,9455,2009,5081,2,8797,6870,9322,22983,5341,6601
LAS,11347,7216,0,4601,2427,15906,12295,9969,10034,4935,7155,3407,8282,10402,0,21474,825,6191,6055,1741,3864,10898,14320,6974,11319,10921,16975,17479,6299,4933
LAX,15796,15994,0,3914,6481,18541,17511,8584,20721,8098,15479,10516,11777,40233,21626,0,1768,11583,5793,2129,8697,9763,24044,10567,11641,802,20494,28802,9195,3727
LGA,23660,11061,0,8693,5423,11516,15359,10613,0,16930,166,623,8736,0,794,1782,0,14396,5385,2144,18999,5952,30037,96,958,851,434,887,334,7166
MCO,15139,17363,0,7855,11405,12186,9726,14348,25581,1489,951,5461,7848,12541,6119,11432,14088,0,8474,2878,2447,10007,15807,22490,4814,3721,4885,5187,4490,0
MDW,7980,3956,0,1195,3749,7424,70,1819,1124,4455,122,42,49,31,6067,5862,5501,8542,0,986,52,5241,0,3328,6995,3352,1423,1427,1020,5555
MEM,2378,867,0,1138,1784,2141,2383,957,1384,1041,174,167,1122,165,1743,2137,2167,2921,941,0,757,865,1682,1049,1125,618,659,674,440,1285
MIA,10672,6032,0,2681,7348,4281,4941,3674,10142,0,222,1038,5330,9315,3763,8751,18335,2419,64,744,0,3022,10521,7186,2517,1670,1675,4992,845,2128
MSP,6338,6771,0,3098,4504,13628,7182,4637,5483,2578,1053,1448,3931,2024,10892,9724,5989,10138,5347,896,3093,0,11526,4466,13295,5099,6405,7011,2291,5537
ORD,14209,18117,0,5723,10846,14845,17936,5164,13520,9969,2176,2589,10764,5163,14245,24240,29955,15831,0,1699,10923,11545,0,10318,14373,7693,10157,16758,3513,10428
PHL,11400,12205,0,5886,94,8199,8534,4454,0,9943,541,0,4298,10,6998,10518,130,22665,3262,1073,7230,4465,10156,0,5670,3597,3555,7564,1609,8825
PHX,6940,6003,0,3115,4097,19935,7906,6880,7604,3120,2818,1854,3407,8758,11665,11900,1042,4798,6985,1134,2585,12969,14282,5705,0,9095,16382,7990,9162,3226
SAN,4237,5990,0,1811,2071,11223,5190,3215,5390,1870,4259,3306,3869,6754,10921,843,791,3900,3430,626,1684,5030,7538,3655,8998,0,13302,16026,6061,2091
SEA,6064,6834,0,1726,2898,12180,6868,3499,5496,2693,6377,4655,4546,9267,17155,20707,453,4973,1250,704,1718,6514,10364,3595,16517,13479,0,16834,6168,2888
SFO,7992,16761,0,3164,4147,13788,8100,5079,22117,5012,7581,8701,5300,23018,17712,29011,858,5369,1515,668,5008,7096,16512,7600,7892,16231,17053,0,4058,2569
SLC,4196,3155,0,1330,1789,8944,4820,1755,2070,2219,2052,1094,2745,5244,6452,9320,360,4548,992,442,865,2264,3513,1551,9336,6160,6216,4055,0,1412
TPA,10517,9335,0,2676,5870,7106,4594,7989,10097,2580,354,2660,3581,6478,4920,3597,7004,0,5488,1258,2147,5345,10002,8944,3163,2066,2789,2498,1414,0
