,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0.0,3650.0,4752.0,682.0,3171.0,8045.0,6488.0,5598.0,7333.0,11180.0,437.0,1923.0,3946.0,3434.0,8598.0,9213.0,5874.0,7969.0,3708.0,1194.0,6430.0,2475.0,6157.0,6236.0,3485.0,1782.0,2207.0,2465.0,2292.0,5345.0
BOS,3760.0,0.0,1299.0,1535.0,2226.0,2647.0,2653.0,1273.0,733.0,7303.0,346.0,433.0,1746.0,436.0,1648.0,4444.0,391.0,7582.0,632.0,253.0,1742.0,1266.0,3436.0,833.0,1750.0,1554.0,1648.0,2679.0,943.0,4320.0
BWI,4750.0,1276.0,0.0,1705.0,0.0,3208.0,1977.0,1055.0,0.0,5801.0,279.0,0.0,1376.0,0.0,2830.0,2983.0,0.0,7412.0,1468.0,334.0,1326.0,849.0,834.0,0.0,1592.0,1314.0,1134.0,378.0,782.0,3071.0
CLT,663.0,1554.0,1688.0,0.0,1078.0,3862.0,2669.0,1320.0,3575.0,3059.0,120.0,453.0,1930.0,571.0,2006.0,2328.0,1927.0,3204.0,447.0,527.0,2095.0,1077.0,2416.0,2462.0,2064.0,925.0,794.0,1072.0,850.0,1305.0
DCA,3155.0,2276.0,0.0,1059.0,0.0,1823.0,2107.0,945.0,69.0,1256.0,174.0,0.0,1098.0,254.0,782.0,3034.0,625.0,2282.0,765.0,408.0,2513.0,1000.0,1917.0,9.0,1354.0,585.0,695.0,856.0,872.0,1597.0
DEN,8020.0,2596.0,3184.0,3724.0,1792.0,0.0,8287.0,3715.0,2532.0,5250.0,709.0,2196.0,8022.0,1202.0,8219.0,8694.0,1696.0,8178.0,2771.0,1378.0,3808.0,6058.0,7352.0,3647.0,11557.0,4795.0,4689.0,3512.0,3612.0,5052.0
DFW,6579.0,2575.0,1977.0,2638.0,2113.0,8443.0,0.0,4194.0,2125.0,5648.0,681.0,1081.0,928.0,526.0,8370.0,10522.0,4443.0,6704.0,5.0,1010.0,2565.0,2867.0,7572.0,2897.0,4879.0,2365.0,2881.0,2317.0,3090.0,3239.0
DTW,5610.0,1301.0,1060.0,1383.0,964.0,3810.0,4274.0,0.0,1099.0,6560.0,208.0,506.0,2458.0,625.0,6263.0,4029.0,2087.0,8299.0,181.0,401.0,1341.0,975.0,958.0,1034.0,3796.0,1285.0,1159.0,1167.0,843.0,5032.0
EWR,7084.0,718.0,1.0,3486.0,62.0,2506.0,2092.0,1048.0,0.0,11812.0,509.0,98.0,4462.0,0.0,5899.0,7447.0,0.0,13627.0,11.0,279.0,6081.0,753.0,2729.0,0.0,2506.0,2113.0,1246.0,4253.0,573.0,6284.0
FLL,11001.0,6822.0,5457.0,2903.0,1155.0,5063.0,5414.0,6329.0,11617.0,0.0,108.0,982.0,3342.0,5477.0,4174.0,3846.0,7153.0,1065.0,2372.0,590.0,0.0,1367.0,6474.0,5546.0,1157.0,865.0,1415.0,1546.0,1206.0,1133.0
HNL,419.0,308.0,283.0,133.0,187.0,734.0,688.0,200.0,514.0,126.0,0.0,208.0,380.0,316.0,1745.0,3776.0,171.0,368.0,19.0,39.0,153.0,205.0,596.0,210.0,980.0,1637.0,1997.0,2109.0,816.0,165.0
IAD,1903.0,460.0,0.0,447.0,0.0,2180.0,1066.0,516.0,77.0,1083.0,207.0,0.0,1264.0,59.0,812.0,2434.0,96.0,1825.0,15.0,101.0,799.0,439.0,879.0,10.0,957.0,1110.0,1017.0,1472.0,493.0,1328.0
IAH,4037.0,1665.0,1309.0,1901.0,1096.0,8104.0,972.0,2439.0,4429.0,3375.0,366.0,1251.0,0.0,458.0,5501.0,6645.0,1603.0,4187.0,3.0,739.0,3432.0,1196.0,4833.0,1415.0,1731.0,1438.0,1707.0,2051.0,1919.0,1746.0
JFK,3588.0,478.0,0.0,478.0,256.0,1215.0,525.0,576.0,0.0,5898.0,362.0,46.0,491.0,0.0,1708.0,8439.0,0.0,5223.0,4.0,64.0,3771.0,478.0,673.0,0.0,2277.0,1143.0,1486.0,3702.0,1156.0,2074.0
LAS,8590.0,1638.0,2757.0,2016.0,786.0,8112.0,8111.0,6055.0,5667.0,4173.0,1748.0,865.0,5376.0,1636.0,0.0,8070.0,215.0,4270.0,3711.0,1396.0,2044.0,5120.0,6909.0,2894.0,4186.0,3341.0,7635.0,4693.0,2939.0,2493.0
LAX,9183.0,4191.0,2960.0,2340.0,2964.0,8684.0,10642.0,3939.0,7456.0,4207.0,3897.0,2435.0,6627.0,8043.0,8120.0,0.0,538.0,7425.0,1913.0,1096.0,5962.0,3508.0,9865.0,4194.0,5258.0,46.0,6317.0,5551.0,4050.0,1708.0
LGA,5766.0,391.0,0.0,1886.0,611.0,1770.0,4761.0,2093.0,0.0,7876.0,190.0,112.0,1673.0,0.0,235.0,623.0,0.0,6874.0,1024.0,252.0,6151.0,797.0,4330.0,0.0,262.0,223.0,220.0,182.0,115.0,2068.0
MCO,7732.0,6934.0,7267.0,3162.0,2294.0,8068.0,6552.0,7949.0,13383.0,1385.0,327.0,1738.0,4099.0,5043.0,4151.0,7119.0,6289.0,0.0,4286.0,1430.0,450.0,4762.0,7723.0,11680.0,2932.0,1395.0,2045.0,1893.0,3615.0,0.0
MDW,3766.0,606.0,1484.0,437.0,816.0,2813.0,5.0,182.0,12.0,2518.0,32.0,17.0,2.0,5.0,3683.0,1884.0,1056.0,4295.0,0.0,650.0,380.0,776.0,0.0,574.0,4395.0,1141.0,425.0,392.0,430.0,3303.0
MEM,1317.0,253.0,319.0,593.0,392.0,1365.0,1073.0,391.0,272.0,616.0,43.0,93.0,766.0,82.0,1390.0,1119.0,252.0,1483.0,655.0,0.0,503.0,292.0,561.0,293.0,740.0,296.0,299.0,218.0,344.0,445.0
MIA,6459.0,1690.0,1267.0,2082.0,2601.0,3756.0,2443.0,1250.0,6204.0,0.0,132.0,758.0,3453.0,3591.0,2027.0,6000.0,5782.0,446.0,347.0,516.0,0.0,1224.0,6735.0,3915.0,1665.0,683.0,728.0,1594.0,667.0,878.0
MSP,2522.0,1254.0,866.0,1058.0,947.0,6138.0,2867.0,1003.0,766.0,1397.0,197.0,451.0,1170.0,501.0,5240.0,3608.0,710.0,4998.0,781.0,294.0,1340.0,0.0,2144.0,881.0,7846.0,1841.0,2026.0,1716.0,1038.0,2982.0
ORD,5982.0,3555.0,809.0,2308.0,1976.0,7375.0,7354.0,937.0,2901.0,6891.0,637.0,864.0,4768.0,684.0,7124.0,9979.0,4167.0,7880.0,0.0,537.0,6743.0,2086.0,0.0,2594.0,8466.0,3610.0,2879.0,3671.0,1386.0,5891.0
PHL,6204.0,843.0,0.0,2317.0,8.0,3572.0,2890.0,987.0,0.0,5676.0,199.0,15.0,1414.0,0.0,2949.0,4169.0,0.0,11730.0,545.0,287.0,3856.0,875.0,2571.0,0.0,2001.0,1124.0,991.0,1154.0,695.0,5368.0
PHX,3420.0,1687.0,1624.0,2050.0,1358.0,11521.0,4864.0,3672.0,2492.0,1172.0,958.0,949.0,1788.0,2155.0,4257.0,5208.0,258.0,3031.0,4343.0,739.0,1697.0,7557.0,8359.0,2065.0,0.0,3980.0,9125.0,3048.0,5426.0,1669.0
SAN,1758.0,1533.0,1338.0,930.0,607.0,4820.0,2319.0,1253.0,2036.0,895.0,1637.0,1136.0,1452.0,1092.0,3363.0,32.0,186.0,1427.0,1133.0,286.0,688.0,1807.0,3466.0,1155.0,3930.0,0.0,4693.0,4368.0,2615.0,833.0
SEA,2166.0,1607.0,1115.0,785.0,756.0,4727.0,2950.0,1169.0,1248.0,1509.0,2092.0,1015.0,1731.0,1367.0,7857.0,6201.0,214.0,2111.0,414.0,276.0,804.0,2011.0,2927.0,1012.0,9114.0,4826.0,0.0,2773.0,2305.0,1272.0
SFO,2478.0,2400.0,364.0,1087.0,885.0,3384.0,2301.0,1160.0,4254.0,1741.0,2317.0,1491.0,2047.0,3342.0,4872.0,5503.0,196.0,2171.0,382.0,225.0,1669.0,1721.0,3595.0,1138.0,3156.0,4385.0,2787.0,0.0,1482.0,712.0
SLC,2331.0,946.0,796.0,856.0,845.0,3857.0,3192.0,850.0,595.0,1172.0,803.0,530.0,1956.0,1069.0,2880.0,4096.0,127.0,3656.0,426.0,330.0,648.0,1047.0,1436.0,722.0,5466.0,2639.0,2330.0,1500.0,0.0,1238.0
TPA,5290.0,4042.0,3042.0,1303.0,1596.0,4993.0,3156.0,4908.0,6308.0,1189.0,157.0,1275.0,1771.0,1908.0,2468.0,1609.0,1891.0,0.0,3251.0,458.0,906.0,2894.0,5722.0,5296.0,1682.0,800.0,1234.0,643.0,1251.0,0.0
