,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,10434.0,1515.0,11441.0,12715.0,8765.0,1396.0,7494.0,13618.0,14267.0,12471.0,2458.0,29581.0,4830.0,11324.0,6833.0,3971.0,5125.0,5459.0,3750.0,9586.0,18525.0,40315.0,22521.0
BOS,10274.0,0.0,6255.0,8067.0,7844.0,4922.0,1400.0,5382.0,5976.0,14780.0,16405.0,648.0,21706.0,5143.0,6263.0,5555.0,5197.0,5579.0,11557.0,3080.0,8350.0,14043.0,14216.0,18906.0
CLT,1601.0,6357.0,0.0,5723.0,5544.0,2922.0,562.0,3314.0,5768.0,4310.0,5854.0,1056.0,8603.0,2559.0,4846.0,3597.0,1994.0,1522.0,2647.0,1596.0,2803.0,6059.0,15344.0,7037.0
DEN,11420.0,7994.0,5692.0,0.0,10878.0,6428.0,2215.0,9950.0,15747.0,14341.0,12153.0,1887.0,13490.0,10490.0,6394.0,18654.0,9632.0,10216.0,8533.0,8177.0,7731.0,18234.0,18435.0,14484.0
DFW,12794.0,7717.0,5529.0,10906.0,0.0,6301.0,1699.0,3169.0,13793.0,16283.0,10637.0,2289.0,12017.0,6261.0,6125.0,7505.0,5089.0,5950.0,6137.0,5298.0,5400.0,12142.0,25584.0,10497.0
DTW,8725.0,5005.0,2933.0,6371.0,6314.0,0.0,602.0,4700.0,10136.0,7953.0,14227.0,802.0,14005.0,2661.0,2893.0,6755.0,2966.0,2881.0,3861.0,1717.0,8095.0,3726.0,13818.0,7786.0
HNL,1428.0,1350.0,556.0,2224.0,1708.0,596.0,0.0,1194.0,7576.0,16059.0,1285.0,179.0,605.0,869.0,510.0,3208.0,4781.0,6678.0,7923.0,2483.0,480.0,2319.0,3468.0,2436.0
IAH,7719.0,5249.0,3276.0,10092.0,3183.0,4526.0,1164.0,0.0,10440.0,13051.0,9611.0,1472.0,10354.0,3023.0,4130.0,4007.0,2772.0,4332.0,4883.0,2819.0,3358.0,11208.0,19638.0,7812.0
LAS,13658.0,5869.0,5697.0,15467.0,13736.0,10097.0,7704.0,10343.0,0.0,15401.0,7119.0,2287.0,10219.0,10363.0,6958.0,9656.0,8360.0,15757.0,11818.0,6281.0,5375.0,19827.0,19083.0,10768.0
LAX,14205.0,14399.0,4299.0,14598.0,16332.0,7926.0,16240.0,13184.0,15853.0,0.0,11854.0,1981.0,20431.0,7795.0,9181.0,10462.0,250.0,16403.0,19383.0,10329.0,4333.0,23463.0,51332.0,19728.0
MCO,12127.0,16057.0,5666.0,11832.0,10405.0,14088.0,1223.0,9481.0,6867.0,11575.0,0.0,2861.0,5312.0,10719.0,20414.0,6126.0,2831.0,4898.0,4647.0,6480.0,0.0,23479.0,54119.0,26771.0
