,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,1323.0,156.0,2263.0,1938.0,2162.0,129.0,748.0,1539.0,3341.0,1876.0,377.0,4616.0,900.0,2226.0,1094.0,611.0,973.0,931.0,918.0,1348.0,3020.0,4376.0,3068.0
BOS,1300.0,0.0,626.0,940.0,1289.0,369.0,59.0,415.0,377.0,1556.0,1600.0,65.0,3595.0,448.0,308.0,616.0,482.0,623.0,905.0,446.0,914.0,1374.0,408.0,1123.0
CLT,174.0,697.0,0.0,993.0,1008.0,405.0,47.0,601.0,509.0,906.0,711.0,207.0,890.0,424.0,645.0,705.0,362.0,281.0,468.0,319.0,304.0,812.0,1845.0,1153.0
DEN,2264.0,954.0,966.0,0.0,1974.0,907.0,138.0,1167.0,2389.0,2667.0,2015.0,413.0,1724.0,1969.0,1118.0,3992.0,1676.0,1932.0,1103.0,1277.0,1650.0,2996.0,1551.0,2224.0
DFW,1910.0,1344.0,991.0,1939.0,0.0,1493.0,117.0,259.0,1972.0,4451.0,1741.0,340.0,2341.0,1055.0,1219.0,1856.0,838.0,1247.0,958.0,969.0,844.0,2241.0,2316.0,1715.0
DTW,2156.0,359.0,404.0,872.0,1446.0,0.0,32.0,539.0,1560.0,1359.0,1890.0,97.0,1846.0,350.0,176.0,1320.0,409.0,497.0,469.0,370.0,1469.0,272.0,1049.0,816.0
HNL,118.0,87.0,46.0,161.0,142.0,43.0,0.0,65.0,240.0,974.0,78.0,19.0,59.0,63.0,55.0,175.0,197.0,644.0,394.0,209.0,38.0,102.0,139.0,191.0
IAH,769.0,455.0,552.0,1211.0,224.0,518.0,60.0,0.0,993.0,1305.0,635.0,213.0,1556.0,344.0,411.0,361.0,336.0,549.0,618.0,478.0,300.0,1436.0,1328.0,876.0
LAS,1430.0,362.0,496.0,2412.0,1840.0,1526.0,201.0,983.0,0.0,1904.0,819.0,448.0,1017.0,1006.0,536.0,1038.0,1165.0,2325.0,1037.0,791.0,499.0,3435.0,922.0,1005.0
LAX,3264.0,1569.0,875.0,2573.0,4331.0,1363.0,844.0,1242.0,1851.0,0.0,1153.0,582.0,2717.0,1642.0,1101.0,1726.0,1.0,2610.0,1627.0,1339.0,552.0,5403.0,5170.0,3513.0
MCO,1761.0,1727.0,665.0,2099.0,1657.0,1882.0,51.0,619.0,857.0,1185.0,0.0,332.0,213.0,1032.0,3009.0,706.0,506.0,559.0,347.0,501.0,0.0,2918.0,4141.0,2585.0
MEM,419.0,73.0,208.0,431.0,398.0,90.0,15.0,205.0,460.0,572.0,305.0,0.0,398.0,97.0,117.0,168.0,93.0,127.0,125.0,99.0,137.0,419.0,192.0,330.0
MIA,4510.0,4231.0,833.0,1774.0,2224.0,1945.0,40.0,1560.0,1099.0,2807.0,210.0,390.0,0.0,661.0,3513.0,1041.0,466.0,777.0,1318.0,328.0,261.0,5745.0,8647.0,3192.0
MSP,890.0,445.0,394.0,1974.0,1094.0,366.0,28.0,323.0,1028.0,1577.0,991.0,94.0,562.0,0.0,394.0,2019.0,544.0,784.0,637.0,394.0,653.0,862.0,715.0,842.0
PHL,2163.0,319.0,627.0,1124.0,1179.0,150.0,43.0,403.0,510.0,1108.0,3196.0,122.0,3488.0,387.0,0.0,791.0,364.0,418.0,364.0,250.0,1408.0,1089.0,2.0,7.0
PHX,1137.0,797.0,662.0,4048.0,1875.0,1466.0,150.0,379.0,1109.0,1897.0,745.0,165.0,1022.0,2383.0,901.0,0.0,1399.0,4710.0,924.0,1820.0,541.0,4893.0,1350.0,1392.0
SAN,606.0,510.0,343.0,1668.0,763.0,427.0,181.0,302.0,1124.0,1.0,537.0,90.0,450.0,531.0,367.0,1366.0,0.0,1975.0,1137.0,729.0,241.0,1233.0,694.0,971.0
SEA,906.0,587.0,261.0,1931.0,1147.0,460.0,451.0,528.0,2267.0,2549.0,570.0,137.0,722.0,766.0,378.0,4187.0,1874.0,0.0,987.0,909.0,499.0,1506.0,1043.0,1053.0
SFO,868.0,999.0,450.0,1084.0,873.0,487.0,327.0,604.0,1032.0,1704.0,375.0,120.0,1234.0,666.0,357.0,819.0,1087.0,1122.0,0.0,452.0,254.0,1490.0,2680.0,1055.0
SLC,897.0,414.0,322.0,1339.0,961.0,365.0,155.0,512.0,776.0,1383.0,481.0,102.0,322.0,424.0,241.0,1815.0,722.0,982.0,455.0,0.0,341.0,641.0,581.0,800.0
TPA,1301.0,1218.0,322.0,1683.0,849.0,1535.0,29.0,284.0,488.0,538.0,0.0,156.0,263.0,711.0,1462.0,506.0,251.0,562.0,275.0,354.0,0.0,2856.0,1914.0,1936.0
CHI,2970.0,1439.0,809.0,2967.0,2173.0,271.0,93.0,1392.0,3411.0,5313.0,2802.0,431.0,5429.0,802.0,1174.0,4376.0,1298.0,1557.0,1512.0,645.0,2675.0,0.0,2881.0,2025.0
NYC,4443.0,330.0,1702.0,1613.0,2239.0,1017.0,121.0,1309.0,1018.0,5407.0,3943.0,205.0,7605.0,774.0,3.0,1248.0,738.0,1214.0,2682.0,623.0,1910.0,2805.0,0.0,280.0
WAS,2909.0,1081.0,1124.0,2271.0,1649.0,865.0,161.0,927.0,1066.0,3453.0,2618.0,360.0,3066.0,905.0,15.0,1329.0,988.0,1158.0,1074.0,854.0,1939.0,2075.0,298.0,0.0
