,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,15568,12256,2201,12104,11404,11828,10190,12833,15303,1190,4650,6803,6706,10292,16162,24524,14660,7796,1909,10528,7005,13148,11680,6733,4187,5434,7097,4140,9206
BOS,15596,0,10711,6691,15345,9209,8384,6538,7625,10821,1053,4474,4166,3702,6747,17285,12114,14991,4410,852,5984,8277,17700,11038,5867,5940,6956,17380,2980,9157
BWI,12072,10667,0,4140,0,6096,3497,5467,11,12002,925,0,3506,524,6482,8588,8,13690,5223,1338,2165,4581,5200,17,4370,4609,2930,3701,2210,6541
CLT,2305,6769,4369,0,2855,3970,5366,2890,7377,2311,370,1647,3258,5303,2947,3937,10486,4416,1227,1154,2337,3018,6026,4871,2972,1712,1583,3219,1352,2661
DCA,11979,15435,0,2798,0,5457,6144,4198,1254,5874,663,0,3321,2772,2225,6946,5987,10170,3880,1562,6633,4442,10907,122,3769,2135,2785,4241,1847,6394
DEN,11350,9069,5997,3932,5403,0,11717,7517,6661,6362,2025,6811,9088,4513,15768,17922,10847,10746,7412,2040,4108,12150,13634,7803,19229,11100,12101,13720,8570,6596
DFW,11775,8499,3528,5325,6185,11503,0,6887,7325,4978,1537,3768,4227,3032,11693,19441,15884,9819,30,2141,4987,6733,15954,8158,7696,4766,6664,7914,4684,5302
DTW,10212,6625,5431,2842,4226,7521,6722,0,4868,9636,598,1491,4416,1233,8829,8417,10392,14089,1935,940,3599,4509,5131,4408,6768,3356,3619,4996,1750,7366
EWR,12499,7574,8,7258,1227,6629,7303,4779,0,18353,1773,1160,10255,0,9097,20795,0,23135,3800,654,7696,3893,11763,0,7295,6063,5593,21917,2136,8779
FLL,15091,10361,11724,2173,5775,6310,5005,9132,18029,0,254,2641,4268,12043,4533,7211,16701,1802,4484,929,0,2672,9143,9086,2310,2191,2506,4547,2199,2520
HNL,1177,1043,907,374,690,1999,1483,597,1727,277,0,1042,1149,1947,5766,15478,104,925,7,171,221,974,2008,564,2262,4053,6595,7485,1930,433
IAD,4582,4569,0,1565,0,6738,3635,1498,1396,2775,1053,0,2354,1600,3653,10429,1046,6112,49,206,1429,1345,2667,102,1571,3341,4053,8633,1139,2752
IAH,6783,4143,3455,3199,3427,9210,4011,4334,10215,4282,1250,2279,0,303,7153,11577,8061,6811,26,1076,4234,3722,10135,3974,3216,3457,4446,5689,2578,3332
JFK,6566,3702,565,5043,2731,4644,2973,1166,0,12475,2030,1640,305,0,12100,38577,0,15246,8,175,8743,3895,4523,16,7780,7373,9503,23519,4662,6457
LAS,10204,6654,6393,2864,2199,15676,11672,8737,9111,4604,6044,3592,7047,12078,0,21383,800,5787,6520,1908,3622,10102,12837,5827,8727,10071,16098,17030,5942,5064
LAX,16079,17279,8481,3829,6944,17864,19329,8184,21109,7567,15645,10459,11549,38958,21441,0,2043,12111,6081,2109,8416,9652,22718,10658,12396,929,20901,34687,8805,4174
LGA,24085,12040,5,10440,5892,10751,16065,10297,0,17247,113,969,8108,0,784,2048,0,13754,5384,2017,18981,6464,33875,45,1008,708,370,1056,427,6210
MCO,14251,14654,13526,4311,10124,10570,9523,13670,23020,1734,925,6105,6768,14956,5764,11976,13140,0,8184,2746,2639,9603,14120,19582,5059,3663,4686,5242,4383,0
MDW,7711,4349,5260,1268,3894,7304,28,1952,3942,4554,11,42,27,6,6648,6000,5637,8477,0,956,93,5382,0,3291,6861,2839,1393,1761,1036,5101
MEM,2184,850,1347,1122,1565,2019,2107,938,667,984,168,201,1092,172,1902,2099,2014,2729,936,0,756,872,2028,944,943,687,584,657,415,1341
MIA,10479,6119,2272,2261,6567,4178,4698,3545,8102,0,224,1437,4260,9050,3592,8390,18782,2628,100,815,0,2514,9902,5584,2562,1520,1472,5469,797,2579
MSP,6937,8257,4507,3008,4383,12057,6680,4568,3959,2838,977,1376,3691,3684,10108,9627,6519,9955,5425,901,2490,0,8934,3584,12328,4555,6266,6976,2443,4933
ORD,13223,17709,5316,6085,10972,13638,15806,5247,12345,9689,2103,2762,9948,4344,12716,23104,33823,14442,0,2054,10177,9116,0,9536,13185,7074,9885,16923,3289,9285
PHL,11325,11163,18,4737,146,7622,8064,4334,0,9439,570,90,3944,25,5874,10583,72,19900,3190,947,5605,3609,9292,0,5680,3537,3111,7527,1485,8254
PHX,6708,5989,4294,2959,3644,19307,7596,6532,7201,2302,2317,1619,3252,7779,8852,12495,1045,5060,6798,1004,2538,12053,13009,5705,0,8024,14760,8782,7757,2908
SAN,4148,5783,4641,1678,2121,11077,4707,3239,6054,2192,4011,3395,3438,7220,10035,897,689,3865,2925,683,1521,4458,6883,3567,8002,0,13029,18122,5693,2116
SEA,5474,6752,2855,1583,2764,12139,6609,3565,5604,2493,6682,4182,4461,9365,16173,21144,374,4863,1376,574,1534,6361,9723,3116,14708,13291,0,18116,5768,2752
SFO,7006,17080,3737,3138,4126,13656,7755,4953,21839,4643,7798,8839,5607,23409,16762,34638,1001,5345,1675,667,5519,7018,16522,7424,8627,18152,17798,0,3867,2557
SLC,4118,2958,2142,1284,1787,8715,4675,1742,2140,2177,1978,1174,2558,4684,6131,8931,394,4370,1046,437,752,2476,3224,1477,7859,5767,5804,3773,0,1264
TPA,8992,8786,6256,2474,6238,6363,5081,7105,8614,2521,391,2778,3325,6380,5011,3997,6198,0,5095,1326,2520,4833,8867,8106,2869,2047,2643,2533,1252,0
