,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,17267,1877,11429,11858,10344,1259,6432,10356,16019,13861,1766,23758,7195,11340,5390,3882,7128,6606,4145,9034,22059,38985,25914
BOS,17088,0,6311,11456,9838,7586,1127,4831,6582,20044,12787,841,12634,11061,10195,5509,6142,9800,20147,4202,7262,24925,20088,29804
CLT,1967,6580,0,4645,4842,2666,375,2885,2955,3718,3759,1047,3857,2948,4288,2435,1756,2319,3349,1294,2155,7243,20751,8027
DEN,11436,11443,4570,0,12841,9317,1734,8752,15983,19716,8874,1855,8677,15293,8961,16393,12085,15552,15450,9378,5330,24224,25171,20501
DFW,11830,9938,4825,12789,0,7204,1571,4112,11811,17421,9305,2038,11006,7918,7475,6500,6322,10069,8187,4711,4708,18246,23661,12653
DTW,10460,7737,2626,9190,7332,0,555,4962,9403,9126,11537,957,10501,4413,4903,6066,4402,5727,5424,2073,5201,7343,15263,10768
HNL,1272,1147,379,1699,1616,574,0,1325,4655,17416,769,170,564,821,769,1894,4200,6593,7630,1623,375,1720,4477,3094
IAH,6483,4777,2818,8571,3863,4903,1323,0,6753,10955,6350,1045,8218,4392,4037,2218,3734,6373,5540,2498,3082,11137,16139,8164
LAS,10352,6694,2831,16002,11754,9379,4844,6812,0,23401,5585,2013,8213,8534,6462,7820,10768,17939,17730,5663,4887,20967,26366,13274
LAX,16163,20311,3562,19464,17621,9193,17151,10970,23232,0,13042,2224,14650,11067,10709,10519,853,23637,32509,8720,3971,29887,60515,25983
MCO,13448,12781,3463,8693,9205,11520,759,6549,5524,12956,0,2135,3861,6862,17501,3576,3032,5592,4525,3660,0,20887,48967,27340
MEM,1955,832,1039,1809,2082,954,171,1085,2024,2239,2144,0,1527,905,1272,775,638,702,603,461,1077,2916,2421,2951
MIA,23494,12693,3542,8673,11053,10213,511,8270,8094,14602,3829,1611,0,3378,12631,3551,3374,4668,9217,2307,4313,21023,70842,28292
MSP,7244,11082,2910,15216,8000,4497,829,4362,8608,11033,6910,938,3435,0,4053,8256,4746,9778,8612,2873,2966,14745,15161,11516
PHL,11120,10392,4112,9008,7481,4849,776,4016,6493,10663,17453,1304,12615,4059,0,4760,3547,4540,7944,2040,6727,12752,125,243
PHX,5286,5414,2349,16405,6664,5839,1800,2193,7752,10588,3595,795,3443,8086,4618,0,8495,13057,7106,6212,2124,17157,12891,7580
SAN,3935,6298,1688,12062,6334,4319,4258,3766,10650,762,3065,669,3362,4738,3561,8448,0,14380,18255,5792,1777,11594,15311,10987
SEA,7159,9836,2346,15519,10076,5732,6538,6445,17831,23995,5687,690,4678,9855,4603,13187,14479,0,19658,6601,2921,15744,20077,12835
SFO,6653,19946,3271,15194,8220,5368,7576,5539,16825,32908,4515,611,9307,8683,7950,6959,18334,19239,0,4359,2317,21675,48517,15866
SLC,4093,4246,1275,9504,4848,2094,1607,2522,5589,8775,3792,447,2397,2850,2049,6310,5765,6569,4708,0,1165,5351,8504,6480
TPA,8830,7175,1961,5361,4615,5177,387,3152,4815,3871,0,1109,4431,2990,6804,2201,1776,2867,2220,1143,0,11639,20173,13273
CHI,22105,25310,7367,23986,18116,7326,1773,10882,21125,29935,20774,2848,21156,14800,13021,17271,11410,15987,21917,5406,11461,0,62307,29141
NYC,38242,20501,20099,25126,23687,15160,4309,16221,26272,59923,49290,2455,70786,15239,83,13393,15101,20079,48876,8341,20128,61699,0,11960
WAS,25685,30009,7659,20490,12695,10793,2960,8140,13329,25625,28029,2991,28153,11528,198,7672,10910,12730,16000,6422,13273,28729,12024,0
