,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,15568,2201,11404,11828,10190,1190,6803,10292,16162,14660,1909,25831,7005,11680,6733,4187,5434,7097,4140,9206,20944,44063,29010
BOS,15596,0,6691,9209,8384,6538,1053,4166,6747,17285,14991,852,16805,8277,11038,5867,5940,6956,17380,2980,9157,22110,23441,30530
CLT,2305,6769,0,3970,5366,2890,370,3258,2947,3937,4416,1154,4648,3018,4871,2972,1712,1583,3219,1352,2661,7253,23166,8871
DEN,11350,9069,3932,0,11717,7517,2025,9088,15768,17922,10746,2040,10470,12150,7803,19229,11100,12101,13720,8570,6596,21046,22021,18211
DFW,11775,8499,5325,11503,0,6887,1537,4227,11693,19441,9819,2141,9965,6733,8158,7696,4766,6664,7914,4684,5302,15984,26241,13481
DTW,10212,6625,2842,7521,6722,0,598,4416,8829,8417,14089,940,13235,4509,4408,6768,3356,3619,4996,1750,7366,7066,16493,11148
HNL,1177,1043,374,1999,1483,597,0,1149,5766,15478,925,171,498,974,564,2262,4053,6595,7485,1930,433,2015,3778,2639
IAH,6783,4143,3199,9210,4011,4334,1250,0,7153,11577,6811,1076,8516,3722,3974,3216,3457,4446,5689,2578,3332,10161,18579,9161
LAS,10204,6654,2864,15676,11672,8737,6044,7047,0,21383,5787,1908,8226,10102,5827,8727,10071,16098,17030,5942,5064,19357,21989,12184
LAX,16079,17279,3829,17864,19329,8184,15645,11549,21441,0,12111,2109,15983,9652,10658,12396,929,20901,34687,8805,4174,28799,62110,25884
MCO,14251,14654,4311,10570,9523,13670,925,6768,5764,11976,0,2746,4373,9603,19582,5059,3663,4686,5242,4383,0,22304,51116,29755
MEM,2184,850,1122,2019,2107,938,168,1092,1902,2099,2729,0,1740,872,944,943,687,584,657,415,1341,2964,2853,3113
MIA,25570,16480,4434,10488,9703,12677,478,8528,8125,15601,4430,1744,0,5186,14670,4872,3711,3978,10016,2996,5099,23629,82707,30416
MSP,6937,8257,3008,12057,6680,4568,977,3691,10108,9627,9955,901,5328,0,3584,12328,4555,6266,6976,2443,4933,14359,14162,10266
PHL,11325,11163,4737,7622,8064,4334,570,3944,5874,10583,19900,947,15044,3609,0,5680,3537,3111,7527,1485,8254,12482,97,254
PHX,6708,5989,2959,19307,7596,6532,2317,3252,8852,12495,5060,1004,4840,12053,5705,0,8024,14760,8782,7757,2908,19807,16025,9557
SAN,4148,5783,1678,11077,4707,3239,4011,3438,10035,897,3865,683,3713,4458,3567,8002,0,13029,18122,5693,2116,9808,13963,10157
SEA,5474,6752,1583,12139,6609,3565,6682,4461,16173,21144,4863,574,4027,6361,3116,14708,13291,0,18116,5768,2752,11099,15343,9801
SFO,7006,17080,3138,13656,7755,4953,7798,5607,16762,34638,5345,667,10162,7018,7424,8627,18152,17798,0,3867,2557,18197,46249,16702
SLC,4118,2958,1284,8715,4675,1742,1978,2558,6131,8931,4370,437,2929,2476,1477,7859,5767,5804,3773,0,1264,4270,7218,5103
TPA,8992,8786,2474,6363,5081,7105,391,3325,5011,3997,0,1326,5041,4833,8106,2869,2047,2643,2533,1252,0,13962,21192,15272
CHI,20934,22058,7353,20942,15834,7199,2114,9975,19364,29104,22919,3010,24513,14498,12827,20046,9913,11278,18684,4325,14386,0,60097,28246
NYC,43150,23316,22741,22024,26341,16242,3916,18668,21981,61420,52135,2846,83495,14252,61,16083,14144,15466,46492,7225,21446,59353,0,14197
WAS,28633,30671,8503,18291,13276,11163,2641,9181,12360,25963,29972,3106,30878,10368,241,9710,10085,9768,16575,5196,15687,27926,14598,0
