,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,2781.0,677.0,8816.0,5852.0,5426.0,432.0,4211.0,9091.0,7850.0,8452.0,1171.0,21359.0,2995.0,6069.0,3068.0,1430.0,1917.0,1848.0,2945.0,5743.0,9456.0,15556.0,8248.0
BOS,2604.0,0.0,1262.0,2496.0,1721.0,1045.0,531.0,1096.0,1271.0,2918.0,10381.0,182.0,14650.0,813.0,609.0,1579.0,1139.0,997.0,1681.0,1657.0,5911.0,3084.0,1413.0,3298.0
CLT,725.0,1327.0,0.0,4521.0,1960.0,1243.0,152.0,1216.0,1720.0,1657.0,3362.0,468.0,6818.0,893.0,2094.0,1677.0,635.0,527.0,795.0,1056.0,1602.0,2059.0,5187.0,2361.0
DEN,8854.0,2578.0,4415.0,0.0,7947.0,3385.0,1147.0,7534.0,8814.0,7389.0,10598.0,1330.0,12557.0,6007.0,3946.0,13547.0,5332.0,4466.0,3296.0,5089.0,5536.0,10818.0,6296.0,6962.0
DFW,5836.0,1786.0,1955.0,7848.0,0.0,3868.0,1034.0,1093.0,8138.0,9701.0,6625.0,1051.0,9781.0,2616.0,1898.0,4891.0,1797.0,2535.0,1617.0,3199.0,3222.0,5953.0,7112.0,3866.0
DTW,5390.0,1067.0,1258.0,3450.0,3847.0,0.0,345.0,2586.0,7585.0,4094.0,11621.0,311.0,13322.0,987.0,976.0,4684.0,945.0,878.0,957.0,1273.0,7722.0,1014.0,3205.0,2191.0
HNL,418.0,589.0,156.0,1225.0,1054.0,344.0,0.0,449.0,2476.0,5439.0,505.0,87.0,402.0,663.0,253.0,1496.0,2140.0,2998.0,2140.0,1795.0,179.0,1330.0,1262.0,706.0
IAH,4312.0,1175.0,1211.0,7367.0,1062.0,2590.0,431.0,0.0,5248.0,6310.0,4754.0,648.0,7590.0,1194.0,1095.0,1888.0,1051.0,1338.0,1238.0,1953.0,1708.0,5342.0,5933.0,2932.0
LAS,9145.0,1331.0,1675.0,8646.0,8202.0,7447.0,2544.0,5313.0,0.0,8765.0,4290.0,1143.0,6134.0,7366.0,3000.0,5591.0,3600.0,9484.0,4197.0,3898.0,2648.0,13466.0,7160.0,3751.0
LAX,7771.0,3134.0,1667.0,7365.0,9638.0,4059.0,5406.0,6121.0,8731.0,0.0,7077.0,905.0,12116.0,3126.0,3339.0,5678.0,30.0,5372.0,4612.0,4306.0,1677.0,11408.0,15163.0,6515.0
