,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
MCO,8298.0,10702.0,3334.0,10367.0,6655.0,11584.0,489.0,4745.0,4049.0,7159.0,0.0,1787.0,2464.0,10408.0,13376.0,3412.0,1409.0,2607.0,1865.0,5796.0,0.0,17056.0,30718.0,13006.0
MEM,1173.0,175.0,521.0,1292.0,1097.0,306.0,75.0,653.0,1139.0,956.0,1720.0,0.0,1399.0,269.0,256.0,650.0,227.0,236.0,147.0,394.0,657.0,1174.0,559.0,639.0
MIA,21178.0,15617.0,6714.0,12542.0,9948.0,13347.0,378.0,7666.0,6060.0,12628.0,2223.0,1493.0,0.0,7879.0,13550.0,3267.0,1585.0,2333.0,3670.0,3534.0,2485.0,25343.0,65054.0,15826.0
MSP,3034.0,852.0,865.0,5955.0,2631.0,1025.0,661.0,1172.0,7431.0,3123.0,10618.0,290.0,7974.0,0.0,676.0,14375.0,2030.0,1503.0,1163.0,1350.0,5945.0,2734.0,1698.0,1760.0
PHL,6053.0,639.0,2036.0,3922.0,1803.0,963.0,238.0,1039.0,2960.0,3378.0,13385.0,253.0,13248.0,657.0,0.0,1781.0,853.0,646.0,746.0,1088.0,6096.0,2181.0,0.0,22.0
PHX,2978.0,1702.0,1694.0,13692.0,4960.0,4661.0,1429.0,1923.0,5606.0,5784.0,3429.0,660.0,3360.0,14323.0,1782.0,0.0,4337.0,12105.0,3048.0,7584.0,1899.0,17209.0,4994.0,3530.0
SAN,1408.0,1237.0,624.0,5158.0,1726.0,967.0,2120.0,1035.0,3621.0,26.0,1444.0,226.0,1621.0,1999.0,865.0,4355.0,0.0,4384.0,3295.0,3245.0,725.0,4299.0,2497.0,2337.0
SEA,1916.0,1095.0,493.0,4417.0,2390.0,844.0,2883.0,1386.0,9284.0,5400.0,2624.0,216.0,2221.0,1497.0,651.0,12022.0,4208.0,0.0,2295.0,2982.0,1528.0,2650.0,2080.0,2173.0
SFO,1754.0,1801.0,746.0,3211.0,1655.0,952.0,2183.0,1183.0,4249.0,4493.0,1972.0,178.0,3499.0,1094.0,805.0,3009.0,3189.0,2275.0,0.0,1514.0,532.0,3222.0,6493.0,1881.0
SLC,2935.0,1754.0,1081.0,5114.0,3339.0,1265.0,1822.0,2015.0,3945.0,4406.0,5860.0,426.0,3517.0,1327.0,1115.0,7718.0,3310.0,3002.0,1586.0,0.0,1698.0,2735.0,4313.0,2844.0
TPA,5767.0,5952.0,1592.0,5452.0,3143.0,7754.0,190.0,1714.0,2570.0,1715.0,0.0,664.0,2488.0,5732.0,6197.0,1902.0,715.0,1510.0,502.0,1683.0,0.0,12814.0,12621.0,6150.0
CHI,9379.0,3130.0,1992.0,10708.0,5949.0,1042.0,1331.0,5274.0,13175.0,11443.0,16981.0,1126.0,24606.0,2711.0,2196.0,17002.0,4315.0,2679.0,3153.0,2649.0,12817.0,0.0,7995.0,4656.0
NYC,15086.0,1472.0,4867.0,6284.0,7000.0,3242.0,1201.0,5842.0,7235.0,15189.0,30848.0,546.0,63805.0,1702.0,0.0,5051.0,2442.0,2052.0,6374.0,4283.0,12763.0,8172.0,0.0,981.0
WAS,7976.0,3322.0,2311.0,6910.0,3861.0,2160.0,679.0,2920.0,3804.0,6567.0,13220.0,608.0,15590.0,1702.0,24.0,3464.0,2359.0,2176.0,1852.0,2861.0,6271.0,4742.0,921.0,0.0
