,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,11469,2096,10711,11336,8115,1044,6204,10400,14943,13483,1705,22420,5988,10792,6266,3233,4266,6299,3959,9005,19956,32211,22642
BOS,11491,0,4758,6670,6153,4252,939,3195,5700,13185,14470,588,16914,4134,7669,5431,4833,4534,12612,3453,8350,13762,18905,23099
CLT,2178,5008,0,3724,4463,1993,329,2813,2623,3254,4253,953,4076,2161,3611,2807,1462,1223,2244,1391,2451,5445,17356,6989
DEN,10667,6875,3714,0,11887,5823,1766,7897,16723,19816,10898,1390,11660,10719,6486,20817,9474,10571,12816,8269,6895,18537,18301,15692
DFW,11241,6213,4461,11621,0,5883,1314,3893,10188,15213,9904,1739,9606,6752,7015,7506,4574,4989,6933,4687,4606,14917,19424,10742
DTW,8100,4286,1895,5824,5931,0,719,4335,9123,6516,15538,657,16441,3309,2478,6987,2579,2231,3432,1710,10044,6680,12735,8545
HNL,1055,1028,316,1749,1268,725,0,840,4966,12832,654,123,481,1806,514,2239,3508,5457,6332,2055,377,2000,3734,2392
IAH,6223,3272,2701,7728,3785,4225,897,0,6839,9055,6091,833,7875,2646,2751,2938,3376,3686,4269,2981,3504,8374,13962,6561
LAS,10491,5793,2586,17024,10390,9085,5068,6776,0,21358,5516,2040,9297,11710,6478,10090,10003,14712,17252,5985,4081,20203,21000,12368
LAX,15097,13709,3201,19701,15507,6493,12781,9201,20781,0,13655,1659,14942,8275,9195,13159,718,17669,32078,9859,3018,25677,52300,21039
MCO,13145,14497,4050,11045,9880,15242,657,6076,5451,13720,0,2637,4111,13181,18898,5907,4339,4417,6213,4726,0,24116,48637,30434
MEM,1947,610,914,1297,1682,668,123,844,2036,1663,2702,0,1505,666,807,853,569,379,570,459,1097,2180,2449,1971
MIA,22117,17193,3880,11552,9515,16039,462,7865,9061,15108,3912,1487,0,8721,16528,4515,3806,3747,9650,3880,5114,26868,85587,32756
MSP,6006,4132,2141,10854,6806,3339,1790,2649,11894,8398,13452,689,8819,0,2965,17588,4678,3689,6507,2462,8262,15577,9902,7477
PHL,10955,7949,3416,6537,6811,2522,529,2718,6400,9225,18869,810,16314,2984,0,5374,2814,2102,5353,1974,10036,8477,100,167
PHX,6021,5532,2803,20947,7520,6924,2224,2937,9907,13407,5932,849,4681,17404,5441,0,8051,15176,8705,7744,3153,22696,14052,8724
SAN,3384,4894,1427,9520,4528,2561,3469,3425,9676,699,4223,541,3656,4630,2912,7992,0,10541,15739,6011,1882,8883,10110,8954
SEA,4206,4542,1187,10821,5030,2223,5364,3669,14441,17732,4321,410,3701,3697,2024,15237,10531,0,13614,4963,2272,7426,10708,7520
SFO,6312,12856,2168,12529,7001,3420,6261,4172,16353,31880,6044,512,9450,6515,5295,8629,15467,13857,0,4541,1922,14065,37323,12992
SLC,3952,3634,1376,8512,4692,1679,2009,3039,6060,10156,4716,474,4017,2435,2003,7841,6052,5037,4462,0,1596,5183,9501,5486
TPA,8817,8101,2294,6879,4617,9782,349,3535,4002,2940,0,1073,5205,8208,10107,3190,1826,2314,1980,1568,0,16149,19383,15566
CHI,20104,14057,5301,18478,14685,6781,1985,8437,19855,25602,24119,2183,26421,15325,8805,22866,8915,7397,14139,5079,15912,0,46809,22452
NYC,31685,19150,16785,17780,19406,12734,3608,13947,21185,52260,49009,2439,84613,10015,71,14183,10269,10760,37399,9459,19541,46997,0,10748
WAS,22108,23091,6740,15425,10687,8499,2377,6517,12356,20544,30494,1988,32194,7474,171,8613,8918,7587,12876,5446,15696,22270,10986,0
