,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0.0,2781.0,4747.0,677.0,2326.0,8816.0,5852.0,5426.0,6311.0,12377.0,432.0,1175.0,4211.0,3358.0,9091.0,7850.0,5887.0,8452.0,4120.0,1171.0,8982.0,2995.0,5336.0,6069.0,3068.0,1430.0,1917.0,1848.0,2945.0,5743.0
BOS,2604.0,0.0,907.0,1262.0,2012.0,2496.0,1721.0,1045.0,568.0,8963.0,531.0,379.0,1096.0,457.0,1271.0,2918.0,388.0,10381.0,772.0,182.0,5687.0,813.0,2312.0,609.0,1579.0,1139.0,997.0,1681.0,1657.0,5911.0
BWI,4651.0,888.0,0.0,1196.0,0.0,3512.0,1886.0,962.0,0.0,6506.0,270.0,0.0,1595.0,0.0,2430.0,2211.0,0.0,7692.0,966.0,206.0,3364.0,644.0,1117.0,0.0,1414.0,907.0,805.0,258.0,1045.0,3604.0
CLT,725.0,1327.0,1231.0,0.0,759.0,4521.0,1960.0,1243.0,2734.0,4152.0,152.0,371.0,1216.0,713.0,1720.0,1657.0,1740.0,3362.0,330.0,468.0,2666.0,893.0,1729.0,2094.0,1677.0,635.0,527.0,795.0,1056.0,1602.0
DCA,2186.0,2045.0,0.0,739.0,0.0,1551.0,1313.0,741.0,45.0,1184.0,213.0,0.0,618.0,152.0,695.0,2418.0,531.0,3299.0,654.0,318.0,2876.0,670.0,1237.0,10.0,1220.0,585.0,675.0,461.0,1094.0,1566.0
DEN,8854.0,2578.0,3465.0,4415.0,1596.0,0.0,7947.0,3385.0,2737.0,6803.0,1147.0,1901.0,7534.0,1229.0,8814.0,7389.0,2330.0,10598.0,2931.0,1330.0,5754.0,6007.0,7887.0,3946.0,13547.0,5332.0,4466.0,3296.0,5089.0,5536.0
DFW,5836.0,1786.0,1933.0,1955.0,1279.0,7848.0,0.0,3868.0,2306.0,5429.0,1034.0,654.0,1093.0,510.0,8138.0,9701.0,4296.0,6625.0,13.0,1051.0,4352.0,2616.0,5940.0,1898.0,4891.0,1797.0,2535.0,1617.0,3199.0,3222.0
DTW,5390.0,1067.0,990.0,1258.0,752.0,3450.0,3847.0,0.0,1085.0,10581.0,345.0,449.0,2586.0,348.0,7585.0,4094.0,1772.0,11621.0,137.0,311.0,2741.0,987.0,877.0,976.0,4684.0,945.0,878.0,957.0,1273.0,7722.0
EWR,6119.0,566.0,0.0,2687.0,60.0,2738.0,2264.0,1095.0,0.0,14956.0,506.0,103.0,4034.0,0.0,5263.0,5846.0,0.0,15216.0,11.0,220.0,10964.0,741.0,2786.0,0.0,2770.0,1372.0,810.0,3134.0,1435.0,6356.0
FLL,12307.0,9600.0,6488.0,4077.0,1274.0,6780.0,5497.0,10578.0,15185.0,0.0,167.0,878.0,3635.0,9987.0,3556.0,5230.0,9746.0,1004.0,3990.0,528.0,0.0,4400.0,10149.0,8120.0,1279.0,948.0,1519.0,1708.0,2110.0,1044.0
HNL,418.0,589.0,258.0,156.0,229.0,1225.0,1054.0,344.0,567.0,166.0,0.0,219.0,449.0,567.0,2476.0,5439.0,128.0,505.0,88.0,87.0,236.0,663.0,1242.0,253.0,1496.0,2140.0,2998.0,2140.0,1795.0,179.0
IAD,1139.0,389.0,0.0,376.0,0.0,1847.0,662.0,457.0,98.0,891.0,196.0,0.0,707.0,0.0,679.0,1938.0,95.0,2229.0,57.0,84.0,769.0,388.0,711.0,14.0,830.0,867.0,696.0,1133.0,722.0,1101.0
IAH,4312.0,1175.0,1568.0,1211.0,657.0,7367.0,1062.0,2590.0,3975.0,3638.0,431.0,707.0,0.0,420.0,5248.0,6310.0,1538.0,4754.0,10.0,648.0,3952.0,1194.0,5332.0,1095.0,1888.0,1051.0,1338.0,1238.0,1953.0,1708.0
JFK,3173.0,501.0,0.0,573.0,160.0,1206.0,508.0,376.0,0.0,9634.0,576.0,0.0,432.0,0.0,1726.0,8935.0,0.0,8028.0,8.0,80.0,9579.0,350.0,692.0,0.0,1985.0,884.0,1105.0,3147.0,2675.0,3417.0
LAS,9145.0,1331.0,2415.0,1675.0,681.0,8646.0,8202.0,7447.0,5160.0,3737.0,2544.0,655.0,5313.0,1759.0,0.0,8765.0,241.0,4290.0,5108.0,1143.0,2397.0,7366.0,8358.0,3000.0,5591.0,3600.0,9484.0,4197.0,3898.0,2648.0
LAX,7771.0,3134.0,2176.0,1667.0,2423.0,7365.0,9638.0,4059.0,5967.0,5099.0,5406.0,1916.0,6121.0,8851.0,8731.0,0.0,345.0,7077.0,2167.0,905.0,7017.0,3126.0,9241.0,3339.0,5678.0,30.0,5372.0,4612.0,4306.0,1677.0
LGA,5794.0,405.0,0.0,1607.0,556.0,2340.0,4228.0,1771.0,0.0,9683.0,119.0,102.0,1376.0,0.0,246.0,408.0,0.0,7604.0,1320.0,246.0,8989.0,611.0,3355.0,0.0,296.0,186.0,137.0,93.0,173.0,2990.0
MCO,8298.0,10702.0,7470.0,3334.0,3429.0,10367.0,6655.0,11584.0,15233.0,1229.0,489.0,2107.0,4745.0,8268.0,4049.0,7159.0,7217.0,0.0,6198.0,1787.0,1235.0,10408.0,10858.0,13376.0,3412.0,1409.0,2607.0,1865.0,5796.0,0.0
MDW,4016.0,770.0,917.0,355.0,663.0,3047.0,13.0,154.0,9.0,3952.0,98.0,60.0,11.0,4.0,4970.0,2110.0,1260.0,6053.0,0.0,526.0,1310.0,843.0,0.0,404.0,6045.0,1029.0,397.0,280.0,561.0,4451.0
MEM,1173.0,175.0,234.0,521.0,327.0,1292.0,1097.0,306.0,237.0,529.0,75.0,78.0,653.0,91.0,1139.0,956.0,231.0,1720.0,568.0,0.0,870.0,269.0,606.0,256.0,650.0,227.0,236.0,147.0,394.0,657.0
MIA,8871.0,6017.0,3336.0,2637.0,3138.0,5762.0,4451.0,2769.0,11257.0,0.0,211.0,712.0,4031.0,9786.0,2504.0,7398.0,9093.0,1219.0,1380.0,965.0,0.0,3479.0,9824.0,5430.0,1988.0,637.0,814.0,1962.0,1424.0,1441.0
MSP,3034.0,852.0,648.0,865.0,695.0,5955.0,2631.0,1025.0,739.0,4385.0,661.0,417.0,1172.0,389.0,7431.0,3123.0,570.0,10618.0,847.0,290.0,3589.0,0.0,1887.0,676.0,14375.0,2030.0,1503.0,1163.0,1350.0,5945.0
ORD,5363.0,2360.0,1056.0,1637.0,1255.0,7661.0,5936.0,888.0,2877.0,10012.0,1233.0,705.0,5263.0,672.0,8205.0,9333.0,3173.0,10928.0,0.0,600.0,9332.0,1868.0,0.0,1792.0,10957.0,3286.0,2282.0,2873.0,2088.0,8366.0
PHL,6053.0,639.0,0.0,2036.0,1.0,3922.0,1803.0,963.0,0.0,7932.0,238.0,21.0,1039.0,0.0,2960.0,3378.0,0.0,13385.0,411.0,253.0,5316.0,657.0,1770.0,0.0,1781.0,853.0,646.0,746.0,1088.0,6096.0
PHX,2978.0,1702.0,1448.0,1694.0,1258.0,13692.0,4960.0,4661.0,2689.0,1327.0,1429.0,824.0,1923.0,2007.0,5606.0,5784.0,298.0,3429.0,6117.0,660.0,2033.0,14323.0,11092.0,1782.0,0.0,4337.0,12105.0,3048.0,7584.0,1899.0
SAN,1408.0,1237.0,876.0,624.0,604.0,5158.0,1726.0,967.0,1368.0,961.0,2120.0,857.0,1035.0,926.0,3621.0,26.0,203.0,1444.0,971.0,226.0,660.0,1999.0,3328.0,865.0,4355.0,0.0,4384.0,3295.0,3245.0,725.0
SEA,1916.0,1095.0,786.0,493.0,694.0,4417.0,2390.0,844.0,796.0,1449.0,2883.0,693.0,1386.0,1129.0,9284.0,5400.0,155.0,2624.0,334.0,216.0,772.0,1497.0,2316.0,651.0,12022.0,4208.0,0.0,2295.0,2982.0,1528.0
