,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,17211,2092,11173,13027,10216,1534,6620,10921,17132,14800,1759,26573,7356,12418,6780,4432,6609,7454,3845,9841,23684,40921,29156
BOS,16972,0,6431,9349,9429,7029,1211,4712,6919,19202,14783,858,14685,9024,10876,6243,6664,8338,19308,3968,7784,22824,22980,32599
CLT,2157,6567,0,4163,5365,2625,451,3323,2961,3953,4414,1196,4229,2999,4364,2907,1896,2148,3249,1412,2461,7400,22835,8704
DEN,11106,9630,4092,0,11957,7905,2049,8156,16641,20637,9907,1653,9158,13086,7819,18719,10549,13095,13878,8440,6227,21809,21997,19804
DFW,13091,9757,5403,12028,0,7539,1670,4330,11297,17596,10866,1978,10723,8291,7968,7773,5976,8519,7996,4453,5133,18333,25093,14001
DTW,10088,7057,2458,7766,7359,0,654,4882,10052,8545,13336,936,12270,4110,4591,6536,3763,4515,5025,1804,6542,7149,15826,11468
HNL,1549,1234,449,1995,1621,669,0,1299,5191,16114,1034,225,599,916,676,2352,4312,6320,8091,2198,520,1769,3806,2899
IAH,6652,4809,3234,8125,4236,5040,1309,0,6917,10594,7208,979,8848,4358,4393,2921,3932,6048,4830,2506,3567,11823,17483,8660
LAS,10911,6996,2869,16878,11196,10128,5528,6810,0,22609,6361,1899,8580,10594,6993,8810,10595,18185,17739,5998,5291,22528,25944,14492
LAX,17162,19457,3706,20737,17398,8716,16168,10504,22287,0,13982,2014,15081,9939,11003,12933,801,24491,36769,8753,3876,30116,61760,26888
MCO,14255,15101,4062,9949,10689,13883,1037,7055,6270,13921,0,2453,4021,8889,18742,5093,3706,5461,5953,4382,0,23917,50209,29290
MEM,1999,912,1145,1612,1937,936,226,980,1957,2076,2410,0,1737,853,1336,913,716,688,811,405,1249,2921,3060,3416
MIA,26343,15358,4029,9146,10473,12730,589,8842,8395,15046,3909,1748,0,4800,14479,4315,3656,5097,9816,2701,4480,24638,81027,31471
MSP,7440,9149,2948,13149,8269,4144,874,4282,10257,9645,8547,894,4593,0,3637,10139,4408,7630,8433,2545,3864,15527,14251,11624
PHL,12488,10782,4219,7740,7668,4550,684,4340,6984,10803,18393,1323,14059,3664,0,5583,3561,3662,7391,1672,8274,12736,200,256
PHX,6661,6429,2903,18935,7720,6856,2374,2924,8591,12699,5115,898,4360,11046,5629,0,8349,15512,8293,6829,2997,20247,16519,9784
SAN,4433,6517,1860,10550,5844,3791,4304,3887,10301,763,3915,714,3674,4601,3606,8337,0,13800,18596,5753,1877,11452,13869,11477
SEA,6503,8235,2093,13176,8319,4504,6130,5847,17838,23975,5362,688,4768,7545,3632,15052,13445,0,18608,5955,2777,13418,16511,12090
SFO,7368,19310,3171,13981,7985,4892,8161,4865,16939,37128,5815,768,9846,8651,7283,7978,18556,18649,0,4186,2379,20805,49067,18093
SLC,3801,3990,1353,8804,4382,1794,2140,2458,6099,8807,4336,416,2670,2533,1685,6913,5869,5878,4418,0,1261,5002,7525,6190
TPA,9642,8105,2246,6461,4911,7044,492,3481,5242,3798,0,1264,4529,4215,8341,2988,1918,2877,2377,1194,0,13919,21989,15791
CHI,23440,23205,7235,21505,18023,7280,1780,11591,22409,29708,23188,2892,23997,15384,12989,19244,11310,13650,21133,5028,13194,0,63392,32000
NYC,39974,22955,22043,21818,24572,15797,3658,17142,25568,61685,49657,3089,77651,14214,128,15888,13802,16539,49590,7497,21428,62563,0,14044
WAS,28569,32402,8276,19673,13672,11404,2856,8481,14995,26536,29117,3334,30814,11735,234,9486,11246,12196,17956,6259,15627,31616,14336,0
