,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,10434,0,1515,9324,11441,12715,8765,15257,14812,1396,3505,7494,6284,13618,14267,18774,12471,6226,2458,14769,4830,12299,11324,6833,3971,5125,5459,3750,9586
BOS,10274,0,0,6255,12959,8067,7844,4922,4304,10619,1400,2173,5382,3022,5976,14780,6890,16405,1805,648,11087,5143,12238,6263,5555,5197,5579,11557,3080,8350
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,1601,6357,0,0,2464,5723,5544,2922,5092,4342,562,1430,3314,3382,5768,4310,6870,5854,784,1056,4261,2559,5275,4846,3597,1994,1522,2647,1596,2803
DCA,9061,13045,0,2371,0,4091,4734,3487,952,4939,469,0,2972,1057,2828,6592,3957,9891,2605,1480,6520,3579,7204,82,3641,1857,2755,3593,1629,4606
DEN,11420,7994,0,5692,3980,0,10878,6428,5977,6460,2215,5361,9950,2417,15747,14341,10041,12153,4648,1887,7030,10490,13586,6394,18654,9632,10216,8533,8177,7731
DFW,12794,7717,0,5529,4678,10906,0,6301,8306,5203,1699,2247,3169,3780,13793,16283,13498,10637,55,2289,6814,6261,12087,6125,7505,5089,5950,6137,5298,5400
DTW,8725,5005,0,2933,3472,6371,6314,0,3673,9042,602,1336,4700,1472,10136,7953,8673,14227,896,802,4963,2661,2830,2893,6755,2966,2881,3861,1717,8095
EWR,14852,4467,0,5120,947,6040,8521,3680,0,17390,1756,575,9223,0,9672,18303,0,26246,39,855,15319,3836,10548,0,7793,5134,5043,15828,1959,11404
FLL,14794,10307,0,4299,4895,6234,5167,8942,16924,0,311,2431,4935,13335,4419,7513,15177,1444,3772,740,4,2242,10388,7302,2372,1670,2495,3963,2171,1887
HNL,1428,1350,0,556,527,2224,1708,596,1780,322,0,924,1194,1529,7576,16059,159,1285,232,179,283,869,2087,510,3208,4781,6678,7923,2483,480
IAD,3473,2183,0,1416,0,5290,2239,1346,563,2488,930,0,2084,261,2410,7147,999,4864,753,218,1314,1197,2607,73,1994,2749,2931,5759,1079,2134
IAH,7719,5249,0,3276,2934,10092,3183,4526,9184,5077,1164,2033,0,1330,10440,13051,9124,9611,1652,1472,5277,3023,9556,4130,4007,2772,4332,4883,2819,3358
JFK,6266,3051,0,3381,1007,2556,3855,1442,0,13692,1568,259,1353,0,8346,31410,1,14176,16,106,18824,1329,3734,33,6915,6288,7018,19062,4687,6204
LAS,13658,5869,0,5697,2833,15467,13736,10097,9816,4505,7704,2425,10343,8524,0,15401,743,7119,5471,2287,5714,10363,14356,6958,9656,8360,15757,11818,6281,5375
LAX,14205,14399,0,4299,6585,14598,16332,7926,18068,7832,16240,7128,13184,31239,15853,0,2025,11854,3461,1981,12599,7795,20002,9181,10462,250,16403,19383,10329,4333
LGA,18606,6907,0,6875,3907,9807,13550,8664,0,15251,150,1012,9095,1,846,2088,0,14434,3973,1672,18295,4666,19969,0,1077,563,229,490,385,8171
MCO,12127,16057,0,5666,9642,11832,10405,14088,25938,1359,1223,4837,9481,14120,6867,11575,14061,0,7192,2861,3953,10719,16287,20414,6126,2831,4898,4647,6480,0
MDW,6170,1822,0,827,2661,4614,52,914,36,3956,253,781,1622,11,5395,3403,4055,7223,0,909,2287,3394,0,1922,5862,2371,846,789,702,4839
MEM,2614,646,0,1049,1495,1851,2328,752,854,778,181,203,1465,106,2340,2032,1647,2924,968,0,1210,689,1567,741,1214,548,494,519,537,995
MIA,14647,10759,0,4211,6564,6924,6545,4674,14859,1,290,1288,5215,18225,5551,12114,17786,4116,2259,1288,0,3049,11039,8312,3400,1658,1573,3843,1707,3161
MSP,4827,5181,0,2539,3640,10352,6275,2724,3709,2366,844,1211,3084,1314,10429,7691,4698,11066,3401,724,3186,0,6778,2486,12871,4024,4649,4869,1941,5407
ORD,12143,12335,0,5182,7316,13711,12065,2846,10607,10672,2133,2599,9292,3692,14558,20124,19843,16808,0,1545,11251,6837,0,7256,16500,6573,7590,11786,3348,10788
PHL,11299,6212,0,4731,71,6490,6093,2865,0,7398,509,80,4205,42,6965,9229,0,20727,1851,716,8392,2486,7145,0,4878,2671,2484,4248,1590,8614
PHX,6876,5686,0,3632,3606,18684,7706,6595,7834,2654,3126,2033,4177,7043,9876,10516,1071,6357,5557,1216,3781,12649,16398,4894,0,7943,16872,8555,9602,3480
SAN,4059,5437,0,2017,1832,9712,4985,2948,5288,1889,4820,2785,2858,6237,8454,234,658,3024,2478,539,1752,4056,6600,2775,7752,0,11492,10702,5406,1556
SEA,5102,5462,0,1626,2738,10182,5959,2835,5016,2626,6746,2952,4387,7132,15701,16489,230,5110,825,493,1557,4805,7778,2496,16887,11503,0,11278,5620,3042
SFO,5441,11291,0,2589,3640,8446,6226,3810,15833,4046,8151,5719,4846,18842,11765,19156,496,4774,716,476,3844,4787,11794,4261,8413,10808,11093,0,3501,2485
SLC,3681,3053,0,1646,1595,8207,5366,1720,1977,2183,2472,1082,2854,4614,6251,10392,401,6508,695,564,1720,1985,3331,1544,9703,5355,5702,3484,0,1830
TPA,9439,8134,0,2713,4529,7717,5244,8012,11256,1884,481,2127,3217,6002,5277,4206,8171,0,4779,1033,3185,5273,10586,8631,3301,1443,2902,2291,1829,0
