,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,4025.0,471.0,5983.0,5459.0,4972.0,187.0,2713.0,6741.0,9039.0,5240.0,918.0,13172.0,2595.0,7152.0,2289.0,1521.0,2167.0,2105.0,1893.0,3860.0,8421.0,14045.0,8360.0
BOS,3714.0,0.0,1290.0,3249.0,2676.0,1270.0,152.0,1131.0,1868.0,4045.0,4265.0,181.0,5899.0,1623.0,962.0,1127.0,1379.0,1779.0,2668.0,1089.0,2273.0,5238.0,1480.0,3972.0
CLT,512.0,1466.0,0.0,3651.0,1898.0,1191.0,44.0,1138.0,2023.0,1988.0,2538.0,419.0,4302.0,1022.0,2313.0,1353.0,803.0,724.0,859.0,671.0,780.0,2150.0,6360.0,2929.0
DEN,5992.0,3190.0,3527.0,0.0,7369.0,4282.0,298.0,5637.0,7652.0,8529.0,4766.0,1037.0,4908.0,7669.0,4489.0,8543.0,4538.0,5542.0,3485.0,3183.0,3347.0,11969.0,7585.0,7368.0
DFW,5377.0,2767.0,1886.0,7314.0,0.0,4184.0,297.0,697.0,7606.0,9584.0,4639.0,885.0,7092.0,2614.0,3143.0,3091.0,2693.0,2802.0,1927.0,2560.0,2294.0,6485.0,4308.0,4302.0
DTW,5000.0,1303.0,1182.0,4332.0,4113.0,0.0,55.0,2131.0,6346.0,4037.0,4413.0,355.0,4250.0,1198.0,1483.0,2766.0,1647.0,1380.0,1220.0,909.0,2586.0,1090.0,3801.0,2735.0
HNL,173.0,183.0,43.0,300.0,300.0,65.0,0.0,127.0,450.0,1381.0,105.0,26.0,78.0,91.0,82.0,253.0,553.0,877.0,613.0,294.0,64.0,184.0,293.0,400.0
IAH,2765.0,1168.0,1138.0,5522.0,629.0,2107.0,113.0,0.0,3549.0,5840.0,1913.0,567.0,4764.0,986.0,1071.0,973.0,1313.0,1607.0,1397.0,1516.0,1017.0,4114.0,4044.0,2469.0
LAS,6590.0,1940.0,2043.0,7480.0,7414.0,6229.0,414.0,3504.0,0.0,7997.0,3075.0,1549.0,5433.0,5147.0,4043.0,3148.0,3791.0,7285.0,3634.0,2468.0,1815.0,10821.0,7283.0,4672.0
LAX,8859.0,4295.0,1948.0,8450.0,9532.0,4080.0,1309.0,5987.0,7801.0,0.0,5057.0,1291.0,6977.0,4320.0,3679.0,4227.0,29.0,6734.0,4374.0,3140.0,970.0,11406.0,13390.0,8608.0
MCO,4927.0,4371.0,2607.0,4623.0,4584.0,4366.0,111.0,1906.0,2943.0,4511.0,0.0,664.0,784.0,2826.0,10792.0,1545.0,927.0,1363.0,978.0,1511.0,0.0,7463.0,15194.0,6451.0
MEM,1049.0,195.0,436.0,1066.0,943.0,318.0,27.0,540.0,1603.0,1228.0,683.0,0.0,905.0,252.0,313.0,402.0,318.0,324.0,212.0,296.0,356.0,1114.0,454.0,802.0
MIA,13112.0,6303.0,4209.0,5051.0,6844.0,4154.0,87.0,4909.0,5392.0,6982.0,786.0,912.0,0.0,1077.0,7948.0,1694.0,983.0,1419.0,2401.0,836.0,1179.0,8616.0,22279.0,7492.0
MSP,2523.0,1698.0,995.0,7713.0,2595.0,1202.0,78.0,929.0,5175.0,4305.0,2985.0,267.0,1061.0,0.0,1474.0,4225.0,1809.0,2758.0,2008.0,1247.0,1058.0,3558.0,2302.0,3001.0
PHL,6982.0,970.0,2083.0,4467.0,3084.0,1454.0,71.0,1090.0,4015.0,3579.0,10681.0,306.0,7562.0,1465.0,0.0,1509.0,923.0,1183.0,1151.0,651.0,3364.0,4236.0,4.0,32.0
PHX,2254.0,1162.0,1311.0,8537.0,2964.0,2681.0,192.0,957.0,3043.0,4311.0,1574.0,423.0,1717.0,4137.0,1497.0,0.0,4141.0,6738.0,1933.0,3889.0,940.0,7007.0,2728.0,2581.0
