,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0.0,7134.0,8115.0,1073.0,5929.0,11303.0,10079.0,9244.0,10906.0,17319.0,1643.0,2409.0,6607.0,5440.0,15236.0,14659.0,11695.0,12766.0,6171.0,2022.0,14667.0,5148.0,11111.0,10912.0,5882.0,2973.0,4621.0,4296.0,3367.0,8409.0
BOS,7100.0,0.0,2412.0,3639.0,6717.0,5758.0,5006.0,2939.0,1584.0,11442.0,1245.0,716.0,2914.0,783.0,4156.0,9772.0,1422.0,16263.0,1525.0,465.0,11038.0,3172.0,6713.0,2419.0,4062.0,3694.0,4264.0,6773.0,2485.0,8445.0
BWI,8044.0,2477.0,0.0,2443.0,0.0,5099.0,3488.0,1963.0,0.0,9106.0,760.0,0.0,2725.0,0.0,5208.0,4479.0,1.0,12845.0,2245.0,535.0,5238.0,2453.0,2829.0,0.0,2690.0,2230.0,1892.0,760.0,1506.0,5959.0
CLT,1043.0,3798.0,2510.0,0.0,1741.0,6002.0,3906.0,2232.0,4369.0,4379.0,671.0,837.0,2610.0,2202.0,4016.0,4318.0,4889.0,5082.0,480.0,948.0,3564.0,2007.0,4083.0,4139.0,3192.0,1565.0,1513.0,2276.0,1310.0,2649.0
DCA,5791.0,6809.0,0.0,1652.0,0.0,3232.0,2969.0,1759.0,180.0,2501.0,430.0,0.0,1241.0,621.0,1816.0,5936.0,1894.0,6721.0,1573.0,818.0,5096.0,2128.0,3850.0,21.0,2250.0,1220.0,1715.0,1148.0,1215.0,3522.0
DEN,11355.0,5978.0,5153.0,5889.0,3177.0,0.0,10353.0,5811.0,4883.0,6963.0,2077.0,4003.0,9202.0,2390.0,13957.0,12572.0,4258.0,11713.0,4163.0,1796.0,5425.0,10717.0,12462.0,6891.0,16772.0,8859.0,9666.0,5956.0,6763.0,8027.0
DFW,10360.0,5221.0,3488.0,3870.0,2987.0,10540.0,0.0,6313.0,4623.0,7975.0,2277.0,1434.0,1920.0,2262.0,12412.0,14498.0,8603.0,10120.0,39.0,1919.0,5891.0,5499.0,10218.0,4744.0,6272.0,3943.0,5033.0,4138.0,4166.0,5573.0
DTW,9261.0,2915.0,1931.0,2195.0,1808.0,5740.0,6181.0,0.0,2299.0,10598.0,545.0,946.0,4079.0,1222.0,12170.0,7426.0,3799.0,15742.0,519.0,710.0,4187.0,2208.0,1572.0,1782.0,6337.0,2535.0,2477.0,2668.0,1566.0,8850.0
EWR,10631.0,1594.0,0.0,4213.0,174.0,4867.0,4612.0,2296.0,0.0,18378.0,1487.0,235.0,7246.0,0.0,8480.0,10685.0,0.0,21340.0,51.0,485.0,15543.0,2157.0,5628.0,0.0,5709.0,4165.0,2875.0,8628.0,1599.0,9940.0
FLL,16991.0,12034.0,8841.0,4272.0,2701.0,6769.0,7840.0,10623.0,19033.0,0.0,348.0,1489.0,5609.0,15193.0,4470.0,9066.0,13660.0,1269.0,4111.0,1094.0,0.0,3663.0,11869.0,9389.0,2176.0,1327.0,2268.0,2668.0,1629.0,1256.0
HNL,1665.0,1306.0,767.0,684.0,473.0,2073.0,2273.0,558.0,1523.0,385.0,0.0,797.0,1291.0,1543.0,5389.0,15211.0,216.0,1398.0,51.0,225.0,492.0,1016.0,2128.0,490.0,3479.0,4434.0,6044.0,6997.0,3311.0,479.0
IAD,2324.0,674.0,0.0,835.0,0.0,4001.0,1398.0,939.0,231.0,1562.0,746.0,0.0,1511.0,107.0,1703.0,4591.0,172.0,3215.0,558.0,154.0,1092.0,1036.0,1532.0,30.0,1473.0,1927.0,2361.0,3983.0,845.0,1564.0
IAH,6890.0,2920.0,2702.0,2587.0,1312.0,9249.0,1876.0,4107.0,7390.0,5769.0,1305.0,1576.0,0.0,1300.0,8896.0,10983.0,3556.0,7764.0,1345.0,1205.0,6180.0,2444.0,8458.0,2958.0,3070.0,2250.0,3262.0,3273.0,2307.0,3033.0
JFK,5472.0,831.0,0.0,2191.0,565.0,2313.0,2232.0,1228.0,0.0,14092.0,1484.0,137.0,1235.0,0.0,5844.0,23692.0,0.0,14055.0,22.0,116.0,17245.0,1015.0,2921.0,0.0,5104.0,3599.0,4615.0,11403.0,2805.0,4806.0
LAS,15169.0,4274.0,5262.0,3964.0,1843.0,13979.0,12100.0,12270.0,8382.0,4720.0,5316.0,1719.0,8750.0,6212.0,0.0,15030.0,549.0,6486.0,7946.0,2321.0,4614.0,11450.0,13870.0,5568.0,7664.0,7684.0,17379.0,8379.0,5028.0,5002.0
LAX,14595.0,10244.0,4503.0,4233.0,6027.0,12657.0,14579.0,7602.0,10865.0,9215.0,15098.0,4708.0,11004.0,24380.0,15095.0,0.0,1265.0,10924.0,3686.0,2149.0,10617.0,6429.0,17192.0,6864.0,8961.0,83.0,12970.0,11478.0,5943.0,2910.0
LGA,11173.0,1444.0,0.0,4573.0,1949.0,4032.0,8519.0,3645.0,0.0,13100.0,214.0,157.0,3498.0,0.0,585.0,1142.0,0.0,13071.0,2373.0,640.0,11646.0,2154.0,9377.0,0.0,504.0,333.0,186.0,243.0,166.0,5288.0
MCO,12276.0,16445.0,12718.0,4972.0,6812.0,11712.0,9905.0,15910.0,21982.0,1507.0,1307.0,3135.0,7549.0,14646.0,6376.0,10879.0,13288.0,0.0,8093.0,2859.0,2551.0,10528.0,15908.0,21154.0,6029.0,2408.0,4548.0,3383.0,7314.0,0.0
MDW,6165.0,1451.0,2318.0,462.0,1570.0,4120.0,38.0,564.0,58.0,3964.0,72.0,600.0,1231.0,22.0,7638.0,3575.0,2451.0,7798.0,0.0,1031.0,2518.0,2272.0,0.0,1107.0,6827.0,2085.0,1011.0,713.0,717.0,5334.0
MEM,2213.0,476.0,511.0,910.0,826.0,1741.0,1951.0,719.0,502.0,1104.0,202.0,159.0,1198.0,127.0,2429.0,2188.0,601.0,2828.0,1129.0,0.0,1259.0,594.0,1491.0,644.0,1180.0,514.0,511.0,365.0,449.0,919.0
MIA,14514.0,11631.0,5440.0,3477.0,5219.0,5537.0,5945.0,4278.0,16190.0,0.0,477.0,1028.0,6190.0,18277.0,4652.0,10819.0,12237.0,2648.0,2604.0,1312.0,0.0,3280.0,10022.0,8147.0,2911.0,1372.0,1509.0,3772.0,1248.0,1896.0
MSP,5107.0,3131.0,2403.0,1944.0,2146.0,10605.0,5460.0,2214.0,2143.0,3479.0,1007.0,1025.0,2349.0,1069.0,11189.0,6358.0,2150.0,10133.0,2270.0,596.0,3208.0,0.0,4156.0,2063.0,12087.0,3326.0,4654.0,3627.0,1718.0,5203.0
ORD,11031.0,6795.0,2756.0,3935.0,3913.0,12190.0,10269.0,1624.0,5807.0,11405.0,2038.0,1549.0,8498.0,3012.0,13905.0,17182.0,9277.0,15921.0,0.0,1514.0,9695.0,4155.0,0.0,4980.0,14653.0,5464.0,6515.0,7796.0,2603.0,10261.0
PHL,10767.0,2490.0,0.0,4042.0,29.0,6743.0,4687.0,1789.0,0.0,9351.0,453.0,26.0,2887.0,0.0,5579.0,6806.0,0.0,21302.0,1103.0,608.0,7960.0,2031.0,4807.0,0.0,3674.0,2521.0,2074.0,2771.0,1380.0,7789.0
PHX,5917.0,4514.0,2759.0,3148.0,2335.0,16793.0,6371.0,6613.0,5992.0,2231.0,3448.0,1506.0,3102.0,5523.0,7633.0,9098.0,583.0,6198.0,7043.0,1164.0,3076.0,13132.0,15611.0,3942.0,0.0,7133.0,17989.0,5961.0,8905.0,2830.0
SAN,2985.0,4022.0,2292.0,1559.0,1289.0,8923.0,3841.0,2608.0,4199.0,1328.0,4378.0,1968.0,2211.0,3828.0,7782.0,74.0,396.0,2472.0,2147.0,510.0,1313.0,3352.0,5564.0,2566.0,7081.0,0.0,10429.0,7769.0,4539.0,1446.0
SEA,4475.0,4249.0,1814.0,1495.0,1785.0,9578.0,4965.0,2456.0,2812.0,2249.0,5949.0,2309.0,3247.0,4465.0,17259.0,12700.0,183.0,4559.0,937.0,515.0,1445.0,4654.0,6559.0,2037.0,17371.0,10145.0,0.0,6344.0,5806.0,3084.0
SFO,4222.0,7006.0,817.0,2311.0,1115.0,6030.0,4250.0,2608.0,8584.0,2657.0,7043.0,4008.0,3227.0,11673.0,8370.0,11273.0,235.0,3392.0,707.0,364.0,3697.0,3719.0,7907.0,2827.0,5845.0,7699.0,6412.0,0.0,2633.0,1481.0
SLC,3253.0,2423.0,1498.0,1334.0,1271.0,6865.0,4313.0,1563.0,1656.0,1590.0,3268.0,861.0,2268.0,2920.0,5037.0,5984.0,185.0,7229.0,754.0,428.0,1232.0,1703.0,2689.0,1396.0,8942.0,4494.0,5743.0,2609.0,0.0,1584.0
TPA,8224.0,8764.0,5929.0,2504.0,3542.0,8002.0,5468.0,9010.0,10366.0,1298.0,472.0,1512.0,2974.0,5046.0,4991.0,2858.0,5448.0,0.0,5491.0,936.0,1940.0,5491.0,10508.0,8115.0,2799.0,1416.0,3070.0,1429.0,1630.0,0.0
