,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,16166,2306,12334,11729,9688,1607,7272,11572,17285,14597,2002,27326,7256,11352,6212,4338,6733,8669,4022,9927,22216,43408,28481
BOS,15924,0,6733,10755,9822,6846,1842,4391,8103,18650,16501,861,16018,8131,12229,6233,6168,8104,18833,3806,9373,22642,22883,32605
CLT,2433,7077,0,4880,5154,3129,479,3099,3538,4448,5619,1001,5288,3460,4552,3072,1922,2179,3376,1325,2844,7338,24631,9345
DEN,12431,11191,4721,0,12216,7992,2034,9546,16319,18302,12115,2065,10384,14069,8545,18727,11505,13229,13719,8556,7142,23531,23108,21074
DFW,12080,10217,5148,12525,0,7417,2043,4298,13181,18587,10878,2220,11322,7563,8442,7617,5852,8767,8161,4609,5346,18121,27354,13956
DTW,9553,6880,2996,7928,7213,0,683,4687,10850,8425,14213,996,10894,4661,4587,6075,3508,4247,4879,1768,7232,6995,15751,11354
HNL,1590,1957,476,1986,1984,706,0,1291,5715,18178,1235,229,629,953,588,2806,4297,6585,8326,2264,417,1983,3927,3252
IAH,7362,4388,3058,9641,4033,4814,1357,0,7430,12080,7725,1106,9430,4155,4466,2980,4089,5781,5582,2448,3714,11713,18348,9242
LAS,11427,8266,3422,16291,13109,10952,5927,7226,0,22155,6180,1896,8121,11399,7258,8509,11569,17854,16870,6049,5437,22492,26066,13745
LAX,16994,18827,4260,18033,18092,8614,18444,11676,22495,0,12896,2086,16394,10319,11848,10793,705,21690,31338,9649,3977,30912,65104,27209
MCO,13948,16983,5220,12073,10386,14946,1218,7504,6178,12544,0,2529,3884,10418,20529,4805,3696,5282,5990,4527,0,23633,52778,29030
MEM,2170,921,945,2104,2057,1012,236,1093,1868,2157,2620,0,1980,927,1378,906,737,807,745,390,1195,2770,3164,3227
MIA,27233,16736,4955,10674,10708,11417,612,9397,7873,16408,3708,1977,0,5182,16541,5256,3586,4783,9108,2828,4499,23567,81708,29457
MSP,7261,8146,3381,14039,7544,4600,907,4063,11169,9983,9968,935,4937,0,4640,10685,4939,7122,7693,2425,4655,16410,13902,12395
PHL,11132,12245,4251,8565,8193,4466,599,4434,7343,11802,20671,1326,16179,4572,0,5511,3762,4171,8842,1614,9294,13322,98,130
PHX,6320,6576,2933,18907,7484,6424,2858,2974,8538,10767,4830,957,5457,11433,5743,0,8425,16602,8672,6556,2748,20098,17367,10157
SAN,4185,6408,1815,11446,5630,3539,4261,3941,11400,669,3684,732,3519,5009,3781,8325,0,14623,16802,6362,1965,11046,14322,11105
SEA,6571,8009,2012,13089,8345,4159,6515,5565,17648,21430,5012,749,4537,7125,4064,15901,14284,0,17978,6372,3242,12933,16976,12052
SFO,8566,18788,3250,13743,7977,4830,8578,5502,16378,31005,6014,700,8971,7935,8687,8207,16723,17751,0,4264,2596,19260,49665,18230
SLC,3986,3940,1318,8663,4513,1764,2262,2448,5944,9606,4454,402,2764,2413,1657,6474,6381,6426,4324,0,1207,4304,8248,6194
TPA,9773,9727,2520,7249,5017,7679,432,3725,5524,3918,0,1175,4605,5062,9202,2691,2028,3367,2589,1250,0,15120,22417,16449
CHI,22033,22727,7222,23213,17615,6908,2056,11295,22142,30527,23139,2878,22747,16457,13618,18888,10950,13257,19377,4351,14464,0,63933,30973
NYC,42257,23122,23703,22983,26415,15461,3919,17926,25494,63864,53022,3160,78707,13911,44,16652,14336,17235,50055,8274,21988,62657,0,11914
WAS,28118,32932,8604,21143,13412,11362,3268,9103,14229,27235,29460,3284,29353,12239,108,10039,10865,12199,18196,6224,16733,30631,12105,0
