,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,12755,0,2200,9576,10907,10686,7802,11175,14351,1030,3208,6205,5312,10170,14930,19292,14294,6023,1685,11037,5578,10537,9658,6127,3466,4401,6470,4652,8680
BOS,12589,0,0,4888,13393,7622,6709,4519,5744,11723,1074,2153,2874,2666,6361,13634,10153,16062,1836,562,6465,4921,11734,9091,5249,4965,4730,13112,3807,10033
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,2246,5094,0,0,2476,3585,4385,2248,5354,2032,255,1367,2462,4177,2867,3621,8152,5131,728,933,2348,2337,4519,3746,2800,1384,1209,2583,1319,3157
DCA,9338,13541,0,2414,0,5021,5182,3509,823,5566,621,0,2733,1848,2224,6510,4461,9794,2546,1317,6740,3334,7814,104,3441,2090,2364,3580,2287,5790
DEN,10974,7747,0,3604,5172,0,11767,6290,5586,7969,2100,5117,8787,3635,15941,16303,9751,12199,6415,1866,5223,10469,12261,6740,20474,10444,10375,11635,8612,7678
DFW,10485,6855,0,4481,5198,11763,0,6139,6338,5255,1539,2569,4019,2879,11671,16901,12695,9212,29,1880,4633,5510,13753,6635,7794,4530,5489,6496,4723,4990
DTW,7864,4650,0,2139,3541,6303,6043,0,2972,11030,723,1171,4125,767,9059,7089,8496,17618,1477,690,4032,3550,4327,2865,6515,2670,2298,3421,1819,10106
EWR,10837,5747,0,5202,809,5332,6094,2941,0,18740,1551,747,8303,0,8640,16203,0,21971,2206,656,9283,2701,8430,0,6832,4997,3797,16544,2960,8166
FLL,14226,11780,0,1865,5723,7626,5108,10956,18937,0,294,2390,3563,13347,4645,8170,16219,1676,4996,957,0,4517,10589,10609,2814,2196,2754,4449,2864,2506
HNL,1000,1136,0,244,620,2004,1527,705,1603,302,0,927,959,1807,4812,13744,119,767,13,184,254,2006,2218,479,2190,3792,6318,6556,2040,358
IAD,3128,2165,0,1296,0,4960,2583,1211,828,2325,857,0,1656,486,3096,7968,698,5541,30,113,986,766,1692,1,1461,2596,3247,6786,1317,2462
IAH,6203,2887,0,2452,2764,8360,3885,4071,8277,3513,959,1665,0,298,6219,9944,6249,6178,30,970,4415,2830,9123,3168,3013,3154,3540,4385,3071,3515
JFK,5320,2747,0,4135,1821,3734,2820,738,0,13115,1749,527,309,0,11158,35168,0,14284,3,99,9422,1453,3838,20,7117,5690,7743,20303,6667,5996
LAS,10256,6466,0,2878,2242,16043,11704,9000,8831,4805,4975,3075,6363,11353,0,21758,1001,5676,6226,1653,3252,11686,12681,5143,9335,9509,15897,15900,6178,5240
LAX,14888,14049,0,3585,6554,16079,16895,7105,16493,8205,13762,8407,9836,35893,21704,0,1721,11721,5158,1665,8133,8064,20681,9151,11450,713,18482,28006,11187,3731
LGA,19036,10263,0,7884,4403,9435,12513,8468,0,15548,111,681,6126,0,925,1740,0,13484,4548,1479,19123,4559,26429,29,815,516,293,721,717,5353
MCO,13911,15994,0,5015,9691,11933,9150,17163,22219,1726,796,5451,6275,14371,5614,11789,13767,0,8427,2595,2878,14655,15542,18931,4938,3358,4619,4895,5059,0
MDW,5789,1911,0,679,2547,6344,44,1501,2260,4808,13,18,25,1,6304,5017,4570,8085,0,673,57,3963,0,2008,7109,2497,1019,1574,1060,4999
MEM,1879,554,0,907,1282,1838,1801,668,626,969,175,99,996,112,1661,1710,1521,2522,654,0,709,588,1244,729,892,566,441,503,503,1107
MIA,10900,6648,0,2280,6994,4989,4461,4077,9627,0,243,973,4369,9705,3156,8318,19594,2867,65,721,0,5629,11599,6688,2492,1495,1641,5426,1101,2869
MSP,5645,5153,0,2351,3368,10481,5581,3619,2746,4656,1967,771,2801,1398,11871,8272,4671,14962,3946,621,5476,0,7184,2455,17810,4893,3879,5112,2536,9382
ORD,10786,11964,0,4454,7930,12129,13494,4386,8739,10657,2223,1698,9210,3862,12696,20673,26323,15904,0,1339,11497,7212,0,6818,15728,6206,7087,13216,3826,10712
PHL,9547,9159,0,3651,132,6679,6643,2799,0,10488,483,0,3134,24,5166,9048,66,19016,1923,719,6651,2479,6777,0,5132,2638,2182,5656,2284,9309
PHX,6112,5433,0,2742,3457,20412,7763,6491,7005,2808,2204,1490,3112,7192,9224,11633,911,4910,7098,907,2505,17706,15634,5193,0,7794,15829,9047,7884,3261
SAN,3463,4999,0,1340,2089,10303,4492,2600,5145,2197,3798,2726,3062,5788,9503,691,523,3302,2519,561,1518,4817,6171,2720,7812,0,12487,14501,6316,1824
SEA,4249,4817,0,1145,2464,10363,5305,2237,3866,2764,6172,3164,3453,7646,15679,18182,258,4596,1012,450,1522,3816,7109,2161,15772,12264,0,14891,5331,2640
SFO,6448,13343,0,2552,3547,11498,6512,3374,16582,4373,6528,7009,4470,20547,15141,27821,701,4724,1545,487,5365,5029,13283,5683,8700,14218,14850,0,4436,2109
SLC,4722,3884,0,1362,2298,8583,4738,1800,3063,2909,2075,1354,3145,6787,6132,11408,782,5127,1107,507,1122,2533,3904,2355,7808,6390,5446,4563,0,1641
TPA,8495,9977,0,2874,5828,7611,4951,10011,8303,2559,356,2498,3488,5927,5226,3688,5415,0,5173,1100,2836,9316,10621,9239,3258,1819,2555,2154,1621,0
