,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,8100,0,1918,7611,9139,9041,6094,10047,12848,903,2644,5497,4418,8259,10581,14303,12340,5353,1670,8111,4320,10068,8026,5044,2711,3270,5290,3800,8251
BOS,7980,0,0,4024,10886,6371,5526,3462,4909,10138,1232,1598,3142,1764,5367,10537,6671,15142,1688,464,7161,3745,9361,7317,4624,4332,3726,10061,3345,8579
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,1983,4178,0,0,2111,3673,3712,2138,7953,4419,238,1072,2046,2216,4528,2502,4689,6831,518,790,2119,1771,3395,4742,2274,1244,926,1808,1192,2269
DCA,7459,10855,0,2030,0,4036,4300,2992,842,4768,456,0,1992,889,1963,4761,3478,8475,1843,1130,5745,2700,5969,84,3036,1702,1933,2870,1669,3894
DEN,9171,6460,0,3701,4057,0,9682,4760,4477,7183,1494,4967,7472,2788,12870,12960,8057,10675,4527,1560,3802,9056,9618,5237,16152,8218,8110,8979,7285,6752
DFW,9141,5674,0,3751,4290,9656,0,5305,5469,5466,1416,2083,3098,1433,9493,12838,9813,8172,51,1563,3873,4794,12035,6249,6685,3770,4124,5911,4203,3726
DTW,6145,3431,0,2096,3036,4856,5262,0,2331,9241,617,865,3259,912,8333,5250,5882,13614,1031,560,3908,2487,3493,2050,5974,2024,1721,2583,1372,8783
EWR,9787,4997,0,8026,848,4414,5616,2325,0,14966,1205,793,6883,0,7944,12409,0,20657,93,858,12415,3054,7991,1,6663,3998,3035,12786,2926,8248
FLL,12855,10502,0,4336,4904,7207,5365,9421,15188,0,230,1588,3817,10668,3405,6699,13240,1271,4078,739,0,4047,10567,9439,2475,1719,2352,3649,2420,2328
HNL,905,1348,0,245,515,1565,1480,636,1314,216,0,719,862,1519,5077,10665,164,751,66,135,229,1815,1902,421,2332,3259,5522,5264,1980,313
IAD,2642,1544,0,985,0,5008,2042,919,822,1550,690,0,1193,355,2033,5092,477,4244,24,102,1206,636,1343,0,1152,2064,2536,5345,1025,1753
IAH,5479,3187,0,2054,2038,7319,2976,3267,6687,3645,843,1218,0,1435,6486,8317,4547,6436,28,733,3781,2235,6990,2609,2412,2755,2845,3082,2653,2967
JFK,4439,1846,0,2297,973,2932,1480,905,0,10498,1489,360,1450,0,7285,27224,0,9507,19,86,7233,1025,2934,5,5727,4235,5404,15091,5536,5058
LAS,8203,5461,0,4556,2047,13166,9610,8491,8031,3411,5262,2012,6577,7524,0,15583,641,4715,4563,1184,3745,9461,10755,5027,9551,8306,12490,13425,5437,3725
LAX,10626,10546,0,2441,4643,12984,12828,5280,12245,6740,10444,5275,8409,27109,15219,0,1221,9370,3616,1442,6701,6512,16377,6270,8679,604,12781,19469,8591,2783
LGA,14460,6901,0,4710,3330,8088,9966,6050,0,12936,129,436,4711,0,632,1400,0,12257,3397,1150,13868,3436,17294,54,638,494,220,460,425,5201
MCO,12125,15511,0,6715,8435,10522,8126,13785,20816,1357,770,4259,6413,9859,4697,9483,12305,0,6356,2372,1801,11517,13780,16057,4001,3073,3838,3752,4227,0
MDW,5235,1647,0,483,1861,4487,39,1064,65,3902,51,18,26,26,4374,3580,3413,5994,0,534,32,3312,0,1383,5375,2222,844,1170,846,3654
MEM,1864,465,0,766,1092,1521,1591,573,854,701,137,101,730,68,1145,1384,1142,2294,566,0,672,521,1028,503,871,452,321,355,375,874
MIA,8137,7414,0,2130,6088,3701,3983,4038,12783,0,215,1194,3846,7584,3677,7162,14410,1891,29,710,0,4408,10357,6007,2488,1290,1415,4675,927,1679
MSP,4312,3710,0,1750,2708,9083,4838,2506,3054,3947,1727,655,2221,992,9364,6361,3491,11304,3409,527,4274,0,6693,1986,14805,3783,2756,4155,1989,7106
ORD,10168,9472,0,3441,5973,9531,11872,3529,8008,10216,1729,1219,6959,2768,10530,15751,16982,13463,0,1036,9829,6691,0,5490,12240,5246,5575,8876,3063,9526
PHL,7930,7465,0,4709,81,5176,6192,2042,0,9192,405,0,2526,3,4989,6131,71,15762,1383,501,5737,1976,5396,0,3685,2117,1693,3935,1579,7787
PHX,4936,4788,0,2224,3098,16211,6632,5971,6414,2323,2234,1171,2453,5837,9554,8555,733,3903,5430,854,2459,15044,12634,3819,0,7631,13638,6035,8518,2691
SAN,2751,4401,0,1245,1741,8279,3732,2047,4064,1678,3200,2104,2803,4221,8164,588,420,3074,2112,444,1287,3775,5479,2214,7481,0,10078,10751,5801,1341
SEA,3163,3729,0,906,1908,8030,3932,1655,2924,2228,5259,2473,2720,5156,12109,12767,214,3720,825,332,1317,2771,5410,1620,13446,9704,0,10279,4875,2062
SFO,5312,10008,0,1806,2732,8790,6061,2575,12466,3682,5043,5474,3185,14950,12652,19092,442,3684,1043,334,4501,4145,9023,3922,5885,10550,10375,0,3850,1619
SLC,3750,3384,0,1257,1672,7288,4285,1397,2961,2412,1961,1043,2678,5510,5424,8615,403,4286,861,395,994,2025,3211,1658,8545,5885,4980,3794,0,1485
TPA,8153,8612,0,2091,3969,6784,3616,8917,8346,2372,302,1804,2914,5051,3678,2703,5219,2,3915,935,1643,7250,9734,8046,2636,1365,2146,1624,1479,0
