,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0,12755,2200,10907,10686,7802,1030,6205,10170,14930,14294,1685,25388,5578,9658,6127,3466,4401,6470,4652,8680,16560,35779,22137
BOS,12589,0,4888,7622,6709,4519,1074,2874,6361,13634,16062,562,18188,4921,9091,5249,4965,4730,13112,3807,10033,13570,18563,23463
CLT,2246,5094,0,3585,4385,2248,255,2462,2867,3621,5131,933,4380,2337,3746,2800,1384,1209,2583,1319,3157,5247,17683,7217
DEN,10974,7747,3604,0,11767,6290,2100,8787,15941,16303,12199,1866,13192,10469,6740,20474,10444,10375,11635,8612,7678,18676,18972,16093
DFW,10485,6855,4481,11763,0,6139,1539,4019,11671,16901,9212,1880,9888,5510,6635,7794,4530,5489,6496,4723,4990,13782,21912,10875
DTW,7864,4650,2139,6303,6043,0,723,4125,9059,7089,17618,690,15062,3550,2865,6515,2670,2298,3421,1819,10106,5804,12235,8270
HNL,1000,1136,244,2004,1527,705,0,959,4812,13744,767,184,556,2006,479,2190,3792,6318,6556,2040,358,2231,3529,2531
IAH,6203,2887,2452,8360,3885,4071,959,0,6219,9944,6178,970,7928,2830,3168,3013,3154,3540,4385,3071,3515,9153,14824,7033
LAS,10256,6466,2878,16043,11704,9000,4975,6363,0,21758,5676,1653,8057,11686,5143,9335,9509,15897,15900,6178,5240,18907,21185,11484
LAX,14888,14049,3585,16079,16895,7105,13762,9836,21704,0,11721,1665,16338,8064,9151,11450,713,18482,28006,11187,3731,25839,54107,21840
MCO,13911,15994,5015,11933,9150,17163,796,6275,5614,11789,0,2595,4604,14655,18931,4938,3358,4619,4895,5059,0,23969,50357,27455
MEM,1879,554,907,1838,1801,668,175,996,1661,1710,2522,0,1678,588,729,892,566,441,503,503,1107,1898,2259,2145
MIA,25126,18428,4145,12615,9569,15033,537,7932,7801,16488,4543,1678,0,10146,17297,5306,3691,4395,9875,3965,5375,27249,87429,29619
MSP,5645,5153,2351,10481,5581,3619,1967,2801,11871,8272,14962,621,10132,0,2455,17810,4893,3879,5112,2536,9382,11130,8815,7460
PHL,9547,9159,3651,6679,6643,2799,483,3134,5166,9048,19016,719,17139,2479,0,5132,2638,2182,5656,2284,9309,8700,90,157
PHX,6112,5433,2742,20412,7763,6491,2204,3112,9224,11633,4910,907,5313,17706,5193,0,7794,15829,9047,7884,3261,22732,15108,8766
SAN,3463,4999,1340,10303,4492,2600,3798,3062,9503,691,3302,561,3715,4817,2720,7812,0,12487,14501,6316,1824,8690,11456,8462
SEA,4249,4817,1145,10363,5305,2237,6172,3453,15679,18182,4596,450,4286,3816,2161,15772,12264,0,14891,5331,2640,8121,11770,7651
SFO,6448,13343,2552,11498,6512,3374,6528,4470,15141,27821,4724,487,9738,5029,5683,8700,14218,14850,0,4436,2109,14828,37830,13386
SLC,4722,3884,1362,8583,4738,1800,2075,3145,6132,11408,5127,507,4031,2533,2355,7808,6390,5446,4563,0,1641,5011,10632,5609
TPA,8495,9977,2874,7611,4951,10011,356,3488,5226,3688,0,1100,5395,9316,9239,3258,1819,2555,2154,1621,0,15794,19645,14807
CHI,16575,13875,5133,18473,13538,5887,2236,9235,19000,25690,23989,2012,27019,11175,8826,22837,8703,8106,14790,4886,15711,0,45755,20305
NYC,35193,18757,17221,18501,21427,12147,3411,14738,20723,53111,49739,2234,85231,8713,49,14764,11203,11833,37568,10344,19515,45454,0,9386
WAS,21766,23514,6946,15694,10899,8349,2444,7008,11446,21143,27549,2154,28911,7326,119,8451,8216,7604,13133,5494,14738,19917,9538,0
