,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,1323,0,156,985,2263,1938,2162,1281,2656,129,547,748,850,1539,3341,2245,1876,1241,377,1960,900,1779,2226,1094,611,973,931,918,1348
BOS,1300,0,0,626,677,940,1289,369,52,1914,59,70,415,244,377,1556,112,1600,442,65,1681,448,932,308,616,482,623,905,446,914
BWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,174,697,0,0,359,993,1008,405,661,484,47,115,601,414,509,906,770,711,70,207,406,424,742,645,705,362,281,468,319,304
DCA,911,652,0,315,0,835,615,340,25,435,48,0,284,2,319,1845,181,716,321,196,984,413,558,11,549,238,315,343,219,592
DEN,2264,954,0,966,785,0,1974,907,769,858,138,624,1167,189,2389,2667,593,2015,1212,413,866,1969,1784,1118,3992,1676,1932,1103,1277,1650
DFW,1910,1344,0,991,645,1939,0,1493,762,1153,117,431,259,58,1972,4451,1496,1741,0,340,1188,1055,2241,1219,1856,838,1247,958,969,844
DTW,2156,359,0,404,334,872,1446,0,294,1254,32,138,539,100,1560,1359,655,1890,50,97,592,350,222,176,1320,409,497,469,370,1469
EWR,1297,47,0,657,25,850,783,275,0,1884,49,48,794,0,302,1911,0,2188,2,61,1096,295,648,0,436,277,400,1364,91,793
FLL,2600,2187,0,430,461,895,1054,1352,2182,0,16,190,721,1326,480,925,858,104,1218,248,0,325,2268,1932,311,300,606,426,179,201
HNL,118,87,0,46,59,161,142,43,64,23,0,57,65,60,240,974,15,78,0,19,36,63,102,55,175,197,644,394,209,38
IAD,531,57,0,120,0,632,436,153,61,186,51,0,422,0,111,790,19,259,2,31,23,177,313,4,161,285,410,586,179,247
IAH,769,455,0,552,310,1211,224,518,827,735,60,356,0,70,993,1305,431,635,3,213,821,344,1433,411,361,336,549,618,478,300
JFK,880,185,0,361,0,184,68,103,0,1216,53,0,88,0,512,3164,0,1218,0,29,906,145,71,0,600,299,683,1259,478,713
LAS,1430,362,0,496,286,2412,1840,1526,273,454,201,109,983,455,0,1904,194,819,1156,448,563,1006,2279,536,1038,1165,2325,1037,791,499
LAX,3264,1569,0,875,1932,2573,4331,1363,1873,932,844,732,1242,3029,1851,0,268,1153,1172,582,1785,1642,4231,1101,1726,1,2610,1627,1339,552
LGA,2266,98,0,684,174,579,1388,639,0,763,19,21,427,0,204,332,0,537,485,115,1740,334,1599,3,212,162,131,59,54,404
MCO,1761,1727,0,665,681,2099,1657,1882,2392,100,51,271,619,1235,857,1185,514,0,1183,332,113,1032,1735,3009,706,506,559,347,501,0
MDW,1226,481,0,87,313,1222,0,52,0,1188,4,1,0,0,1143,1097,467,1103,0,268,0,326,0,361,1716,515,338,139,242,1522
MEM,419,73,0,208,181,431,398,90,52,252,15,31,205,28,460,572,112,305,279,0,146,97,140,117,168,93,127,125,99,137
MIA,1910,2044,0,403,1067,879,1170,593,1205,0,24,26,839,1095,619,1882,1981,106,0,142,0,336,2259,1581,730,166,171,892,149,60
MSP,890,445,0,394,389,1974,1094,366,283,270,28,129,323,120,1028,1577,312,991,366,94,292,0,496,394,2019,544,784,637,394,653
ORD,1744,958,0,722,607,1745,2173,219,706,2137,89,243,1392,75,2268,4216,1633,1699,0,163,2104,476,0,813,2660,783,1219,1373,403,1153
PHL,2163,319,0,627,4,1124,1179,150,0,1952,43,3,403,0,510,1108,2,3196,313,122,1536,387,776,0,791,364,418,364,250,1408
PHX,1137,797,0,662,608,4048,1875,1466,431,309,150,142,379,722,1109,1897,197,745,1910,165,713,2383,2983,901,0,1399,4710,924,1820,541
SAN,606,510,0,343,225,1668,763,427,270,309,181,277,302,284,1124,1,140,537,508,90,141,531,725,367,1366,0,1975,1137,729,241
SEA,906,587,0,261,281,1931,1147,460,344,551,451,360,528,595,2267,2549,104,570,330,137,171,766,1176,378,4187,1874,0,987,909,499
SFO,868,999,0,450,329,1084,873,487,1412,422,327,580,604,1201,1032,1704,67,375,151,120,812,666,1339,357,819,1087,1122,0,452,254
SLC,897,414,0,322,210,1339,961,365,104,187,155,147,512,433,776,1383,44,481,253,102,135,424,388,241,1815,722,982,455,0,341
TPA,1301,1218,0,322,603,1683,849,1535,816,198,29,252,284,721,488,538,377,0,1546,156,65,711,1310,1462,506,251,562,275,354,0
