,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,7134.0,1073.0,11303.0,10079.0,9244.0,1643.0,6607.0,15236.0,14659.0,12766.0,2022.0,31986.0,5148.0,10912.0,5882.0,2973.0,4621.0,4296.0,3367.0,8409.0,17282.0,28041.0,16453.0
BOS,7100.0,0.0,3639.0,5758.0,5006.0,2939.0,1245.0,2914.0,4156.0,9772.0,16263.0,465.0,22480.0,3172.0,2419.0,4062.0,3694.0,4264.0,6773.0,2485.0,8445.0,8238.0,3789.0,9845.0
CLT,1043.0,3798.0,0.0,6002.0,3906.0,2232.0,671.0,2610.0,4016.0,4318.0,5082.0,948.0,7943.0,2007.0,4139.0,3192.0,1565.0,1513.0,2276.0,1310.0,2649.0,4563.0,11460.0,5088.0
DEN,11355.0,5978.0,5889.0,0.0,10353.0,5811.0,2077.0,9202.0,13957.0,12572.0,11713.0,1796.0,12388.0,10717.0,6891.0,16772.0,8859.0,9666.0,5956.0,6763.0,8027.0,16625.0,11531.0,12333.0
DFW,10360.0,5221.0,3870.0,10540.0,0.0,6313.0,2277.0,1920.0,12412.0,14498.0,10120.0,1919.0,13866.0,5499.0,4744.0,6272.0,3943.0,5033.0,4138.0,4166.0,5573.0,10257.0,15488.0,7909.0
DTW,9261.0,2915.0,2195.0,5740.0,6181.0,0.0,545.0,4079.0,12170.0,7426.0,15742.0,710.0,14785.0,2208.0,1782.0,6337.0,2535.0,2477.0,2668.0,1566.0,8850.0,2091.0,7320.0,4685.0
HNL,1665.0,1306.0,684.0,2073.0,2273.0,558.0,0.0,1291.0,5389.0,15211.0,1398.0,225.0,877.0,1016.0,490.0,3479.0,4434.0,6044.0,6997.0,3311.0,479.0,2179.0,3282.0,2037.0
IAH,6890.0,2920.0,2587.0,9249.0,1876.0,4107.0,1305.0,0.0,8896.0,10983.0,7764.0,1205.0,11949.0,2444.0,2958.0,3070.0,2250.0,3262.0,3273.0,2307.0,3033.0,9803.0,12246.0,5590.0
LAS,15169.0,4274.0,3964.0,13979.0,12100.0,12270.0,5316.0,8750.0,0.0,15030.0,6486.0,2321.0,9334.0,11450.0,5568.0,7664.0,7684.0,17379.0,8379.0,5028.0,5002.0,21816.0,15143.0,8824.0
LAX,14595.0,10244.0,4233.0,12657.0,14579.0,7602.0,15098.0,11004.0,15095.0,0.0,10924.0,2149.0,19832.0,6429.0,6864.0,8961.0,83.0,12970.0,11478.0,5943.0,2910.0,20878.0,36510.0,15238.0
MCO,12276.0,16445.0,4972.0,11712.0,9905.0,15910.0,1307.0,7549.0,6376.0,10879.0,0.0,2859.0,4058.0,10528.0,21154.0,6029.0,2408.0,4548.0,3383.0,7314.0,0.0,24001.0,49916.0,22665.0
MEM,2213.0,476.0,910.0,1741.0,1951.0,719.0,202.0,1198.0,2429.0,2188.0,2828.0,0.0,2363.0,594.0,644.0,1180.0,514.0,511.0,365.0,449.0,919.0,2620.0,1230.0,1496.0
MIA,31505.0,23665.0,7749.0,12306.0,13785.0,14901.0,825.0,11799.0,9122.0,19885.0,3917.0,2406.0,0.0,6943.0,17536.0,5087.0,2699.0,3777.0,6440.0,2877.0,3152.0,28606.0,94590.0,24718.0
MSP,5107.0,3131.0,1944.0,10605.0,5460.0,2214.0,1007.0,2349.0,11189.0,6358.0,10133.0,596.0,6687.0,0.0,2063.0,12087.0,3326.0,4654.0,3627.0,1718.0,5203.0,6426.0,5362.0,5574.0
PHL,10767.0,2490.0,4042.0,6743.0,4687.0,1789.0,453.0,2887.0,5579.0,6806.0,21302.0,608.0,17311.0,2031.0,0.0,3674.0,2521.0,2074.0,2771.0,1380.0,7789.0,5910.0,0.0,55.0
