,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
MIA,9253.0,4964.0,0.0,1821.0,6379.0,3708.0,4941.0,3055.0,5995.0,0.0,297.0,1288.0,3794.0,8227.0,3545.0,8533.0,15974.0,2610.0,63.0,649.0,0.0,1836.0,8106.0,5050.0,1885.0,1451.0,1840.0,5117.0,481.0,2092.0
MSP,7244.0,11082.0,0.0,2910.0,4241.0,15216.0,8000.0,4497.0,4423.0,1580.0,829.0,1320.0,4362.0,4398.0,8608.0,11033.0,6340.0,6910.0,5595.0,938.0,1855.0,0.0,9150.0,4053.0,8256.0,4746.0,9778.0,8612.0,2873.0,2966.0
ORD,14404.0,20614.0,0.0,6292.0,10757.0,15963.0,18063.0,5340.0,12337.0,8603.0,1751.0,2907.0,10850.0,5466.0,13832.0,24232.0,35101.0,12951.0,0.0,1958.0,8360.0,9174.0,0.0,9689.0,10773.0,8096.0,13725.0,19600.0,4375.0,6931.0
PHL,11120.0,10392.0,0.0,4112.0,128.0,9008.0,7481.0,4849.0,0.0,7589.0,776.0,80.0,4016.0,39.0,6493.0,10663.0,86.0,17453.0,3255.0,1304.0,5026.0,4059.0,9497.0,0.0,4760.0,3547.0,4540.0,7944.0,2040.0,6727.0
PHX,5286.0,5414.0,0.0,2349.0,2751.0,16405.0,6664.0,5839.0,5539.0,1553.0,1800.0,1349.0,2193.0,6467.0,7752.0,10588.0,885.0,3595.0,6243.0,795.0,1890.0,8086.0,10914.0,4618.0,0.0,8495.0,13057.0,7106.0,6212.0,2124.0
SAN,3935.0,6298.0,0.0,1688.0,2375.0,12062.0,6334.0,4319.0,5728.0,1880.0,4258.0,3123.0,3766.0,8888.0,10650.0,762.0,695.0,3065.0,3426.0,669.0,1482.0,4738.0,8168.0,3561.0,8448.0,0.0,14380.0,18255.0,5792.0,1777.0
SEA,7159.0,9836.0,0.0,2346.0,3282.0,15519.0,10076.0,5732.0,6935.0,2827.0,6538.0,4873.0,6445.0,12607.0,17831.0,23995.0,535.0,5687.0,2104.0,690.0,1851.0,9855.0,13640.0,4603.0,13187.0,14479.0,0.0,19658.0,6601.0,2921.0
SFO,6653.0,19946.0,0.0,3271.0,4017.0,15194.0,8220.0,5368.0,22980.0,4119.0,7576.0,8337.0,5539.0,23993.0,16825.0,32908.0,1544.0,4515.0,2320.0,611.0,5188.0,8683.0,19355.0,7950.0,6959.0,18334.0,19239.0,0.0,4359.0,2317.0
SLC,4093.0,4246.0,0.0,1275.0,2028.0,9504.0,4848.0,2094.0,2777.0,1904.0,1607.0,1494.0,2522.0,5075.0,5589.0,8775.0,652.0,3792.0,1066.0,447.0,493.0,2850.0,4285.0,2049.0,6310.0,5765.0,6569.0,4708.0,0.0,1165.0
TPA,8830.0,7175.0,0.0,1961.0,5487.0,5361.0,4615.0,5177.0,8580.0,2350.0,387.0,2265.0,3152.0,5840.0,4815.0,3871.0,5753.0,0.0,4685.0,1109.0,2081.0,2990.0,6954.0,6804.0,2201.0,1776.0,2867.0,2220.0,1143.0,0.0
