,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,8100.0,1918.0,9139.0,9041.0,6094.0,903.0,5497.0,8259.0,10581.0,12340.0,1670.0,20959.0,4320.0,8026.0,5044.0,2711.0,3270.0,5290.0,3800.0,8251.0,15421.0,28768.0,17356.0
BOS,7980.0,0.0,4024.0,6371.0,5526.0,3462.0,1232.0,3142.0,5367.0,10537.0,15142.0,464.0,17299.0,3745.0,7317.0,4624.0,4332.0,3726.0,10061.0,3345.0,8579.0,11049.0,13344.0,17523.0
CLT,1983.0,4178.0,0.0,3673.0,3712.0,2138.0,238.0,2046.0,4528.0,2502.0,6831.0,790.0,6538.0,1771.0,4742.0,2274.0,1244.0,926.0,1808.0,1192.0,2269.0,3913.0,14858.0,7684.0
DEN,9171.0,6460.0,3701.0,0.0,9682.0,4760.0,1494.0,7472.0,12870.0,12960.0,10675.0,1560.0,10985.0,9056.0,5237.0,16152.0,8218.0,8110.0,8979.0,7285.0,6752.0,14145.0,15322.0,13964.0
DFW,9141.0,5674.0,3751.0,9656.0,0.0,5305.0,1416.0,3098.0,9493.0,12838.0,8172.0,1563.0,9339.0,4794.0,6249.0,6685.0,3770.0,4124.0,5911.0,4203.0,3726.0,12086.0,16715.0,8730.0
DTW,6145.0,3431.0,2096.0,4856.0,5262.0,0.0,617.0,3259.0,8333.0,5250.0,13614.0,560.0,13149.0,2487.0,2050.0,5974.0,2024.0,1721.0,2583.0,1372.0,8783.0,4524.0,9125.0,6544.0
HNL,905.0,1348.0,245.0,1565.0,1480.0,636.0,0.0,862.0,5077.0,10665.0,751.0,135.0,445.0,1815.0,421.0,2332.0,3259.0,5522.0,5264.0,1980.0,313.0,1968.0,2997.0,2148.0
IAH,5479.0,3187.0,2054.0,7319.0,2976.0,3267.0,843.0,0.0,6486.0,8317.0,6436.0,733.0,7426.0,2235.0,2609.0,2412.0,2755.0,2845.0,3082.0,2653.0,2967.0,7018.0,12669.0,5695.0
LAS,8203.0,5461.0,4556.0,13166.0,9610.0,8491.0,5262.0,6577.0,0.0,15583.0,4715.0,1184.0,7156.0,9461.0,5027.0,9551.0,8306.0,12490.0,13425.0,5437.0,3725.0,15318.0,16196.0,8438.0
LAX,10626.0,10546.0,2441.0,12984.0,12828.0,5280.0,10444.0,8409.0,15219.0,0.0,9370.0,1442.0,13441.0,6512.0,6270.0,8679.0,604.0,12781.0,19469.0,8591.0,2783.0,19993.0,40575.0,16511.0
MCO,12125.0,15511.0,6715.0,10522.0,8126.0,13785.0,770.0,6413.0,4697.0,9483.0,0.0,2372.0,3158.0,11517.0,16057.0,4001.0,3073.0,3838.0,3752.0,4227.0,0.0,20136.0,42980.0,24324.0
MEM,1864.0,465.0,766.0,1521.0,1591.0,573.0,137.0,730.0,1145.0,1384.0,2294.0,0.0,1373.0,521.0,503.0,871.0,452.0,321.0,355.0,375.0,874.0,1594.0,2064.0,1852.0
MIA,20992.0,17916.0,6466.0,10908.0,9348.0,13459.0,445.0,7663.0,7082.0,13861.0,3162.0,1449.0,0.0,8455.0,15446.0,4963.0,3009.0,3767.0,8324.0,3347.0,4007.0,25031.0,73873.0,24267.0
MSP,4312.0,3710.0,1750.0,9083.0,4838.0,2506.0,1727.0,2221.0,9364.0,6361.0,11304.0,527.0,8221.0,0.0,1986.0,14805.0,3783.0,2756.0,4155.0,1989.0,7106.0,10102.0,7537.0,5356.0
PHL,7930.0,7465.0,4709.0,5176.0,6192.0,2042.0,405.0,2526.0,4989.0,6131.0,15762.0,501.0,14929.0,1976.0,0.0,3685.0,2117.0,1693.0,3935.0,1579.0,7787.0,6779.0,74.0,83.0
PHX,4936.0,4788.0,2224.0,16211.0,6632.0,5971.0,2234.0,2453.0,9554.0,8555.0,3903.0,854.0,4782.0,15044.0,3819.0,0.0,7631.0,13638.0,6035.0,8518.0,2691.0,18064.0,12984.0,7174.0
SAN,2751.0,4401.0,1245.0,8279.0,3732.0,2047.0,3200.0,2803.0,8164.0,588.0,3074.0,444.0,2965.0,3775.0,2214.0,7481.0,0.0,10078.0,10751.0,5801.0,1341.0,7591.0,8705.0,6400.0
SEA,3163.0,3729.0,906.0,8030.0,3932.0,1655.0,5259.0,2720.0,12109.0,12767.0,3720.0,332.0,3545.0,2771.0,1620.0,13446.0,9704.0,0.0,10279.0,4875.0,2062.0,6235.0,8294.0,5649.0
SFO,5312.0,10008.0,1806.0,8790.0,6061.0,2575.0,5043.0,3185.0,12652.0,19092.0,3684.0,334.0,8183.0,4145.0,3922.0,5885.0,10550.0,10375.0,0.0,3850.0,1619.0,10066.0,27858.0,9472.0
SLC,3750.0,3384.0,1257.0,7288.0,4285.0,1397.0,1961.0,2678.0,5424.0,8615.0,4286.0,395.0,3406.0,2025.0,1658.0,8545.0,5885.0,4980.0,3794.0,0.0,1485.0,4072.0,8874.0,4714.0
TPA,8153.0,8612.0,2091.0,6784.0,3616.0,8917.0,302.0,2914.0,3678.0,2703.0,2.0,935.0,4015.0,7250.0,8046.0,2636.0,1365.0,2146.0,1624.0,1479.0,0.0,13649.0,18616.0,11268.0
CHI,15403.0,11119.0,3924.0,14018.0,11911.0,4593.0,1780.0,6985.0,14904.0,19331.0,19457.0,1570.0,23979.0,10003.0,6873.0,17615.0,7468.0,6419.0,10046.0,3909.0,13180.0,0.0,31262.0,15830.0
NYC,28686.0,13744.0,15033.0,15434.0,17062.0,9280.0,2823.0,13044.0,15861.0,41033.0,42421.0,2094.0,71916.0,7515.0,60.0,13028.0,8727.0,8659.0,28337.0,8887.0,18507.0,31728.0,0.0,7072.0
WAS,17006.0,17440.0,7423.0,13831.0,8680.0,6500.0,2088.0,5598.0,8290.0,16358.0,24287.0,1860.0,23403.0,5419.0,86.0,6932.0,6268.0,5741.0,9443.0,4605.0,11166.0,15922.0,7187.0,0.0
