,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,10207.0,1338.0,12261.0,11290.0,9901.0,1700.0,6602.0,14254.0,14624.0,11599.0,2115.0,28662.0,5412.0,11945.0,5803.0,3486.0,5596.0,5792.0,3917.0,8002.0,19794.0,33401.0,20549.0
BOS,10152.0,0.0,5425.0,10410.0,6531.0,4977.0,1605.0,4433.0,5571.0,15905.0,14875.0,670.0,19325.0,6439.0,4478.0,4938.0,5309.0,7550.0,12006.0,4025.0,6271.0,14643.0,7109.0,14841.0
CLT,1391.0,5548.0,0.0,6023.0,4102.0,2977.0,661.0,2680.0,5670.0,4162.0,4591.0,973.0,6733.0,2737.0,4412.0,3016.0,1842.0,2066.0,2769.0,1612.0,2511.0,5917.0,13347.0,5760.0
DEN,12320.0,10437.0,5936.0,0.0,11064.0,8273.0,2096.0,10262.0,14977.0,14468.0,10517.0,1819.0,10683.0,14498.0,8864.0,15359.0,10948.0,13848.0,7895.0,9179.0,6744.0,22058.0,18667.0,16291.0
DFW,11031.0,6512.0,4076.0,11059.0,0.0,6786.0,2024.0,2258.0,12483.0,14256.0,9623.0,1916.0,11738.0,6197.0,6096.0,5603.0,5021.0,6550.0,5181.0,5318.0,5094.0,12636.0,18918.0,8583.0
DTW,9815.0,4974.0,2965.0,8259.0,6704.0,0.0,686.0,4492.0,12045.0,7895.0,13061.0,832.0,11642.0,3100.0,3168.0,5432.0,3332.0,4188.0,4007.0,2140.0,6076.0,3417.0,10467.0,6842.0
HNL,1729.0,1731.0,668.0,2096.0,2133.0,721.0,0.0,1415.0,5861.0,19832.0,1218.0,148.0,1003.0,1124.0,752.0,3495.0,5457.0,6769.0,9296.0,2398.0,464.0,2536.0,4548.0,3019.0
IAH,6583.0,4510.0,2717.0,10270.0,2255.0,4538.0,1391.0,0.0,9716.0,11991.0,8770.0,1281.0,10214.0,2946.0,4683.0,3035.0,3058.0,4687.0,3806.0,2644.0,2794.0,11454.0,14609.0,6767.0
LAS,14420.0,5694.0,5817.0,14953.0,12515.0,11913.0,5918.0,9715.0,0.0,16870.0,6758.0,2465.0,9748.0,10127.0,6527.0,9052.0,8630.0,17604.0,10020.0,6663.0,4769.0,22553.0,19684.0,11645.0
LAX,14687.0,16136.0,4186.0,14452.0,14435.0,8013.0,19690.0,11960.0,16779.0,0.0,11360.0,2152.0,17687.0,8503.0,8558.0,7911.0,168.0,19295.0,16762.0,9570.0,2727.0,25133.0,48611.0,18878.0
MCO,11193.0,15047.0,4510.0,10442.0,9568.0,12987.0,1210.0,8766.0,6624.0,11247.0,0.0,2519.0,4894.0,7715.0,19976.0,4918.0,2283.0,5066.0,3841.0,5259.0,0.0,23560.0,55095.0,23714.0
MEM,2304.0,665.0,948.0,1809.0,1875.0,800.0,152.0,1286.0,2425.0,2167.0,2490.0,0.0,2062.0,666.0,794.0,944.0,523.0,603.0,418.0,494.0,727.0,2707.0,1598.0,1665.0
MIA,28349.0,19411.0,6552.0,10620.0,11830.0,11703.0,957.0,10219.0,9570.0,17599.0,4615.0,2053.0,0.0,4889.0,15647.0,4285.0,2667.0,3884.0,6369.0,2839.0,3846.0,24611.0,84013.0,24340.0
MSP,5412.0,6503.0,2689.0,14429.0,6330.0,3124.0,1094.0,2878.0,10115.0,8386.0,7660.0,688.0,4727.0,0.0,3483.0,9611.0,4335.0,7448.0,5572.0,2506.0,3985.0,10833.0,8887.0,8861.0
PHL,11760.0,4533.0,4330.0,8803.0,6045.0,3182.0,698.0,4574.0,6436.0,8280.0,19605.0,796.0,15601.0,3427.0,0.0,4117.0,3094.0,3855.0,4462.0,2059.0,7025.0,9638.0,0.0,102.0
PHX,5747.0,5205.0,3005.0,15283.0,5664.0,5204.0,3425.0,3062.0,8984.0,7950.0,5113.0,934.0,4734.0,9546.0,4181.0,0.0,7839.0,15353.0,6622.0,9042.0,2423.0,19757.0,13292.0,6784.0
SAN,3575.0,5868.0,1883.0,10902.0,5027.0,3378.0,5399.0,3113.0,8636.0,152.0,2328.0,570.0,2797.0,4322.0,3333.0,7646.0,0.0,13532.0,9728.0,5301.0,1414.0,10159.0,12024.0,7449.0
SEA,5680.0,7701.0,2013.0,13916.0,6673.0,4233.0,6513.0,4683.0,17363.0,19297.0,5017.0,596.0,3885.0,7509.0,3861.0,15291.0,13356.0,0.0,10843.0,6710.0,3349.0,12375.0,13931.0,9434.0
SFO,5757.0,12132.0,2731.0,7781.0,5431.0,4092.0,9216.0,3819.0,9738.0,16758.0,3857.0,441.0,6233.0,5649.0,4464.0,6407.0,9967.0,10643.0,0.0,3430.0,1635.0,12677.0,30789.0,9293.0
