,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,3650.0,682.0,8045.0,6488.0,5598.0,437.0,3946.0,8598.0,9213.0,7969.0,1194.0,17610.0,2475.0,6236.0,3485.0,1782.0,2207.0,2465.0,2292.0,5345.0,9865.0,16641.0,9846.0
BOS,3760.0,0.0,1535.0,2647.0,2653.0,1273.0,346.0,1746.0,1648.0,4444.0,7582.0,253.0,9045.0,1266.0,833.0,1750.0,1554.0,1648.0,2679.0,943.0,4320.0,4068.0,1560.0,3958.0
CLT,663.0,1554.0,0.0,3862.0,2669.0,1320.0,120.0,1930.0,2006.0,2328.0,3204.0,527.0,5154.0,1077.0,2462.0,2064.0,925.0,794.0,1072.0,850.0,1305.0,2863.0,6073.0,3219.0
DEN,8020.0,2596.0,3724.0,0.0,8287.0,3715.0,709.0,8022.0,8219.0,8694.0,8178.0,1378.0,9058.0,6058.0,3647.0,11557.0,4795.0,4689.0,3512.0,3612.0,5052.0,10123.0,5430.0,7172.0
DFW,6579.0,2575.0,2638.0,8443.0,0.0,4194.0,681.0,928.0,8370.0,10522.0,6704.0,1010.0,8213.0,2867.0,2897.0,4879.0,2365.0,2881.0,2317.0,3090.0,3239.0,7577.0,7094.0,5171.0
DTW,5610.0,1301.0,1383.0,3810.0,4274.0,0.0,208.0,2458.0,6263.0,4029.0,8299.0,401.0,7901.0,975.0,1034.0,3796.0,1285.0,1159.0,1167.0,843.0,5032.0,1139.0,3811.0,2530.0
HNL,419.0,308.0,133.0,734.0,688.0,200.0,0.0,380.0,1745.0,3776.0,368.0,39.0,279.0,205.0,210.0,980.0,1637.0,1997.0,2109.0,816.0,165.0,615.0,1001.0,678.0
IAH,4037.0,1665.0,1901.0,8104.0,972.0,2439.0,366.0,0.0,5501.0,6645.0,4187.0,739.0,6807.0,1196.0,1415.0,1731.0,1438.0,1707.0,2051.0,1919.0,1746.0,4836.0,6490.0,3656.0
LAS,8590.0,1638.0,2016.0,8112.0,8111.0,6055.0,1748.0,5376.0,0.0,8070.0,4270.0,1396.0,6217.0,5120.0,2894.0,4186.0,3341.0,7635.0,4693.0,2939.0,2493.0,10620.0,7518.0,4408.0
LAX,9183.0,4191.0,2340.0,8684.0,10642.0,3939.0,3897.0,6627.0,8120.0,0.0,7425.0,1096.0,10169.0,3508.0,4194.0,5258.0,46.0,6317.0,5551.0,4050.0,1708.0,11778.0,16037.0,8359.0
MCO,7732.0,6934.0,3162.0,8068.0,6552.0,7949.0,327.0,4099.0,4151.0,7119.0,0.0,1430.0,1835.0,4762.0,11680.0,2932.0,1395.0,2045.0,1893.0,3615.0,0.0,12009.0,24715.0,11299.0
MEM,1317.0,253.0,593.0,1365.0,1073.0,391.0,43.0,766.0,1390.0,1119.0,1483.0,0.0,1119.0,292.0,293.0,740.0,296.0,299.0,218.0,344.0,445.0,1216.0,606.0,804.0
MIA,17460.0,8512.0,4985.0,8819.0,7857.0,7579.0,240.0,6795.0,6201.0,9846.0,1511.0,1106.0,0.0,2591.0,9461.0,2822.0,1548.0,2143.0,3140.0,1873.0,2011.0,15928.0,39824.0,12220.0
MSP,2522.0,1254.0,1058.0,6138.0,2867.0,1003.0,197.0,1170.0,5240.0,3608.0,4998.0,294.0,2737.0,0.0,881.0,7846.0,1841.0,2026.0,1716.0,1038.0,2982.0,2925.0,1977.0,2264.0
PHL,6204.0,843.0,2317.0,3572.0,2890.0,987.0,199.0,1414.0,2949.0,4169.0,11730.0,287.0,9532.0,875.0,0.0,2001.0,1124.0,991.0,1154.0,695.0,5368.0,3116.0,0.0,23.0
PHX,3420.0,1687.0,2050.0,11521.0,4864.0,3672.0,958.0,1788.0,4257.0,5208.0,3031.0,739.0,2869.0,7557.0,2065.0,0.0,3980.0,9125.0,3048.0,5426.0,1669.0,12702.0,4905.0,3931.0
SAN,1758.0,1533.0,930.0,4820.0,2319.0,1253.0,1637.0,1452.0,3363.0,32.0,1427.0,286.0,1583.0,1807.0,1155.0,3930.0,0.0,4693.0,4368.0,2615.0,833.0,4599.0,3314.0,3081.0
SEA,2166.0,1607.0,785.0,4727.0,2950.0,1169.0,2092.0,1731.0,7857.0,6201.0,2111.0,276.0,2313.0,2011.0,1012.0,9114.0,4826.0,0.0,2773.0,2305.0,1272.0,3341.0,2829.0,2886.0
SFO,2478.0,2400.0,1087.0,3384.0,2301.0,1160.0,2317.0,2047.0,4872.0,5503.0,2171.0,225.0,3410.0,1721.0,1138.0,3156.0,4385.0,2787.0,0.0,1482.0,712.0,3977.0,7792.0,2740.0
SLC,2331.0,946.0,856.0,3857.0,3192.0,850.0,803.0,1956.0,2880.0,4096.0,3656.0,330.0,1820.0,1047.0,722.0,5466.0,2639.0,2330.0,1500.0,0.0,1238.0,1862.0,1791.0,2171.0
TPA,5290.0,4042.0,1303.0,4993.0,3156.0,4908.0,157.0,1771.0,2468.0,1609.0,0.0,458.0,2095.0,2894.0,5296.0,1682.0,800.0,1234.0,643.0,1251.0,0.0,8973.0,10107.0,5913.0
CHI,9748.0,4161.0,2745.0,10188.0,7359.0,1119.0,669.0,4770.0,10807.0,11863.0,12175.0,1187.0,16532.0,2862.0,3168.0,12861.0,4751.0,3304.0,4063.0,1816.0,9194.0,0.0,8825.0,5966.0
NYC,16438.0,1587.0,5850.0,5491.0,7378.0,3717.0,1061.0,6626.0,7842.0,16509.0,25724.0,595.0,41589.0,2028.0,0.0,5045.0,3479.0,2952.0,8137.0,1844.0,10426.0,8771.0,0.0,1186.0
WAS,9808.0,4012.0,3211.0,7211.0,5150.0,2516.0,660.0,3738.0,4424.0,8451.0,11519.0,843.0,12778.0,2288.0,19.0,3903.0,3009.0,2846.0,2706.0,2147.0,5996.0,5878.0,1180.0,0.0
